ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
3110204,16,SMG,★★★★★,Thompson,100,3263300,-,-,x5,,1190,1190,31,12,56,82,12,0,0,5,10,0,Thompson's Exoskeleton,ILM Hollow-Point Ammo,PEQ-16A,150,Oathed,2019-10-14 19:12,Locked
3683311,20097,HG,★★★★★★,M950A Mod,115,10083300,-,-,x5,Mod2,400,400,32,57,76,72,15,0,0,20,10,10,RMR T4 Red Dot Sight,ILM Hollow-Point Ammo,IOP T4 Exoskeleton,100,,,Locked
3872928,106,AR,★★★★★,FAL,100,3263300,-,-,x5,,660,660,57,43,38,72,10,0,0,20,10,0,PEQ-16A,16Lab High-Velocity Ammo,IOP T4 Exoskeleton,100,,,Locked
5262061,20057,AR,★★★★★,ST AR-15 Mod,119,26095535,0,0,x5,Mod3,535,535,49,55,52,78,10,0,0,20,10,10,VFL 6-24X56,PEQ-16A,.300BLK High-Velocity Ammo,200,Oathed,2020-06-28 16:30,Locked
6390842,129,AR,★★★★★,Type95,100,3263300,-,-,x5,,580,580,55,52,46,71,10,0,0,20,10,0,PEQ-16A,APCR High-Velocity Ammo,IOP T4 Exoskeleton,100,,,Locked
6593241,54,AR,★★★★,M16A1,100,3263300,-,-,x5,,605,605,47,46,44,75,10,0,0,20,10,0,APCR High-Velocity Ammo,Special Warfare Mobile Suit,Type 3 Armor Plate,100,,,Locked
7384462,48,RF,★★★★★,WA2000,94,2527679,0,0,x5,,430,430,125,78,29,38,7,0,0,40,10,0,,,,100,,,Locked
7991842,20053,RF,★★★★★★,NTW-20 Mod,115,11755522,0,0,x5,Mod3,475,475,169,81,30,32,7,0,0,40,10,10,20mm HEI,VFL 6-24X56,Thermoptic Camouflage Cape,200,Oathed,2021-01-20 14:56,Locked
9189821,20065,AR,★★★★★★,416 Mod,115,11591808,0,0,x5,Mod3,620,620,54,51,47,78,10,0,0,20,10,10,EOT XPS3,APCR High-Velocity Ammo,Tactical Headwear,200,Oathed,2020-11-12 00:25,Locked
9446907,46,RF,★★★★★,Kar98k,90,1984374,0,0,x5,,400,400,126,71,38,33,7,0,0,40,10,0,,,,100,,,Locked
12204549,20115,SMG,★★★★★★,Suomi Mod,110,5263300,0,0,x5,Mod2,1115,1115,31,15,72,94,12,0,0,5,10,10,,,,100,,,Locked
14290889,130,AR,★★★★★,Type97,90,1977500,0,0,x5,,550,550,50,47,42,70,10,0,0,20,4,0,,,,100,,,Locked
19119745,20,SMG,★★★★★,Vector,100,3263300,-,-,x5,,925,925,30,11,71,101,12,0,0,5,10,0,IOP T4 Exoskeleton,ILM Hollow-Point Ammo,PEQ-16A,100,,,Locked
19214000,109,MG,★★★★★,Gr MG5,91,2140187,0,0,x5,,945,945,80,25,25,116,4,0,11,5,9,0,,,,100,,,Locked
19321616,166,HG,★★★★★,CZ75,50,225470,0,0,x3,,150,150,23,35,41,55,15,0,0,20,5,0,,,,100,,,Locked
20383243,62,AR,★★★★★,Gr G41,90,1993274,0,0,x5,,605,605,47,44,36,75,10,0,0,20,10,0,,,,100,,,Locked
30701640,20143,SMG,★★★★★★,RO635 Mod,111,6074572,0,0,x5,Mod2,1030,926,29,15,75,97,12,0,0,5,10,10,IOP T4 Exoskeleton,ILM Hollow-Point Ammo,PEQ-16A,150,Oathed,2020-12-26 00:59,Locked
31453822,121,MG,★★★★,Mk48,30,45000,0,0,x3,,336,336,52,11,11,90,4,0,10,5,1,0,,,,100,,,Locked
33517405,126,HG,★★★★★,NZ75,100,3263300,-,-,x5,,365,365,33,62,74,63,15,0,0,20,10,0,Wooden Grips,,,100,,,Locked
41784649,96,HG,★★★★★,Grizzly,100,3263300,-,-,x5,,430,430,38,51,66,54,15,0,0,20,10,0,,,MkV Mobility Skeleton,100,,,Locked
55872582,69,AR,★★★★,Fr FAMAS,40,108000,0,0,x3,,255,255,28,24,20,67,10,0,0,20,1,0,,,,100,,,Locked
59856835,196,AR,★★★★★,Zas M21,100,3263300,-,-,x5,,605,605,55,48,41,74,10,0,0,20,10,0,PEQ-16A,APCR High-Velocity Ammo,IOP T4 Exoskeleton,100,,,Locked
70860830,1017,HG,★★★★★,Jill Stingray,100,3263300,-,-,x5,,400,400,30,53,96,55,15,0,0,20,10,0,Karmotrine,Karmotrine,Karmotrine,100,,,Locked
73776403,236,AR,★★★★★,K11,100,3263300,-,-,x5,,675,675,53,54,37,76,10,0,0,20,10,0,PEQ-16A,APCR High-Velocity Ammo,IOP X4 Exoskeleton,100,,,Locked
82302631,245,SMG,★★★★★,P90,100,3263300,-,-,x5,,950,950,30,15,83,93,12,0,0,5,10,0,IOP T4 Exoskeleton,ILM Hollow-Point Ammo,PEQ-15,100,,,Locked
89528686,215,AR,★★★★★,MDR,90,2055015,0,0,x5,,565,565,52,46,38,74,10,0,0,20,8,0,,,,100,,,Locked
90454903,64,AR,★★★★,Gr G36,90,2034850,0,0,x5,,605,605,45,41,38,70,10,0,0,20,4,0,,,,100,,,Locked
91643897,206,AR,★★★★★,AK-12,100,3263300,-,-,x5,,550,550,56,62,52,78,10,0,0,20,10,0,PEQ-16A,16Lab High-Velocity Ammo,IOP T4 Exoskeleton,100,,,Locked
92294506,148,RF,★★★★★,IWS 2000,90,1977566,0,0,x5,,420,420,151,71,27,31,7,0,0,40,6,0,,,,100,,,Locked
99712015,213,SMG,★★★★★,C-MS,98,3054162,0,0,x5,,915,915,32,15,74,86,12,0,0,5,10,0,IOP T4 Exoskeleton,Mk211 High-Explosive Armor-Piercing Ammo,PEQ-16A,81,,,Locked
104891294,257,RF,★★★★★,M200,90,2072652,0,0,x5,,420,420,135,88,29,33,7,0,0,40,10,0,,,,100,,,Locked
106546267,226,RF,★★★★,Mk 12,30,45000,0,0,x1,,53,53,55,31,13,36,7,0,0,40,1,0,,,,100,,,Locked
106808183,198,RF,★★★★★,Carcano M91/38,100,3263300,-,-,x5,,365,365,146,90,44,34,7,0,0,40,10,0,,,,149,Oathed,2020-11-22 19:27,Locked
106835086,59,SMG,★★★★★,AK-74U,17,14700,0,0,x1,,113,113,18,4,20,63,12,0,0,5,4,0,,,,68,,,Locked
108178712,183,HG,★★★★★,Contender,93,2409195,0,0,x5,,320,320,44,80,77,42,15,0,0,40,10,0,,,,100,,,Locked
108524833,212,HG,★★★★,K5,91,2156120,0,0,x5,,315,315,27,48,75,60,15,0,0,40,10,0,,,,100,,,Locked
108724029,28,SMG,★★★★★,Gr MP7,90,1976564,0,0,x4,,752,752,28,12,63,89,12,0,0,5,8,0,,,,100,,,Locked
110989775,233,HG,★★★★★,Px4 Storm,95,2667213,0,0,x5,,330,330,34,66,89,56,15,0,0,20,10,0,ImpulsIIA/C,,,100,,,Locked
110992860,20125,MG,★★★★★★,Gr MG4 Mod,115,10326840,0,0,x5,Mod3,925,925,92,37,35,140,4,0,10,5,10,10,Mk4 SLAP,Gr MG4 MGO,IOP Maximum Ammo Box,200,Oathed,2022-01-02 13:49,Locked
112910247,142,HG,★★★★★,Five-seven,99,3252554,0,0,x5,,315,315,31,56,96,66,15,0,0,20,10,0,,,,100,,,Locked
113496924,157,SG,★★★★★,Am KSG,92,2281664,0,0,x5,,1215,1215,28,12,12,29,6,22,5,40,8,0,,,,100,,,Locked
113605054,127,SMG,★★★★★,Type79,100,3263300,-,-,x5,,970,970,32,12,70,88,12,0,0,5,4,0,IOP T4 Exoskeleton,S&B762,PEQ-16A,100,,,Locked
114218004,99,HG,★★★★,Gr Mk23,92,2253023,0,0,x5,,380,380,27,49,61,62,15,0,0,20,10,0,,,,92,,,Locked
114468945,261,RF,★★★★★,QBU-88,90,1985004,0,0,x5,,400,400,118,79,38,40,7,0,0,40,8,0,,,,100,,,Locked
114759211,20026,SMG,★★★★★,Gr MP5 Mod,111,6096145,0,0,x5,Mod2,895,895,31,14,70,90,12,0,0,5,10,10,GSG UX Exoskeleton,ILM Hollow-Point Ammo,PEQ-16A,150,Oathed,2022-02-05 06:49,Locked
114759212,75,MG,★★★★,M1918,90,1976800,0,0,x5,,745,745,90,29,30,110,4,0,8,5,8,0,,,,100,,,Locked
114759797,162,SG,★★★★,SPAS-12,90,2001560,0,0,x4,,1044,1044,31,11,9,31,6,19,4,40,1,0,,,,100,,,Locked
115778188,85,MG,★★★★,PK,90,2061980,0,0,x5,,905,905,90,20,21,81,4,0,11,5,8,0,,,,100,,,Locked
116158416,234,SMG,★★★★★,JS 9,100,3263300,-,-,x5,,900,900,27,15,86,89,12,0,0,5,10,0,IOP T4 Exoskeleton,ILM Hollow-Point Ammo,PEQ-16A,100,,,Locked
116472257,173,MG,★★★★★,PKP,100,3263300,-,-,x5,,825,825,95,31,29,127,4,0,10,5,10,0,M1022 Sniper Rounds,VFL 6-24X56,IOP Maximum Ammo Box,150,Oathed,2022-07-27 00:05,Locked
117582944,1009,HG,★★★★★,El Clear,95,2642466,0,0,x5,,325,325,30,59,84,60,15,0,0,20,10,0,Glorylight,,,100,,,Locked
117583383,197,RF,★★★★★,Carcano M1891,92,2275760,0,0,x5,,380,380,131,79,39,33,7,0,0,40,10,0,,,,100,,,Locked
117818564,1010,HG,★★★★★,El Fail,1,0,0,0,x1,,33,33,10,7,10,39,15,0,0,20,1,0,,,,100,,,Locked
119551392,188,SG,★★★★★,S.A.T.8,100,3263300,-,-,x5,,1410,1410,29,13,12,33,6,22,4,40,10,0,Type 3 Armor Plate,Shotgun Flash Shells,S.F. Modified Tactical Light,100,,,Locked
120045204,135,SMG,★★★★★,SR-3MP,90,1989305,0,0,x5,,920,920,29,11,62,88,12,0,0,5,8,0,,,,100,,,Locked
121729866,266,RF,★★★★★,R93,100,3263300,-,-,x5,,405,405,133,97,34,39,7,0,0,40,10,0,M1022 Sniper Rounds,VFL 6-24X56,Thermoptic Camouflage Cape,100,,,Locked
