Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2021-09-24 18:01:13,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★
2021-09-24 18:01:13,GUN,NORMAL,130/130/130/30,SMG,17,M3,★★
2021-09-24 18:01:13,GUN,NORMAL,130/130/130/30,HG,2,M1911,★★
2021-09-24 18:01:13,GUN,NORMAL,130/130/130/30,SMG,22,PPS-43,★★★
2021-09-24 18:01:24,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-24 18:01:24,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-09-24 18:01:24,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-24 18:01:24,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-25 18:03:22,GUN,NORMAL,130/130/130/30,HG,12,C96,★★★
2021-09-25 18:03:22,GUN,NORMAL,130/130/130/30,SMG,92,Spectre M4,★★
2021-09-25 18:03:22,GUN,NORMAL,130/130/130/30,HG,5,M1895,★★
2021-09-25 18:03:22,GUN,NORMAL,130/130/130/30,HG,5,M1895,★★
2021-09-25 18:03:38,EQUIP,NORMAL,50/250/150/150,AP,17,M61 Armor-Piercing Ammo,★★
2021-09-25 18:03:38,EQUIP,NORMAL,50/250/150/150,SUPPRESSOR,63,AC1 Suppressor,★★
2021-09-25 18:03:38,EQUIP,NORMAL,50/250/150/150,HV,29,FMJ High-Velocity Ammo,★★
2021-09-25 18:03:38,EQUIP,NORMAL,50/250/150/150,NIGHTEQUIP,15,PEQ-15,★★★★
2021-09-26 18:46:07,GUN,NORMAL,91/400/400/30,AR,133,Type63,★★
2021-09-26 18:46:07,GUN,NORMAL,91/400/400/30,AR,61,StG44,★★★
2021-09-26 18:46:07,GUN,NORMAL,91/400/400/30,SMG,32,Micro Uzi,★★★
2021-09-26 18:46:07,GUN,NORMAL,91/400/400/30,AR,74,SIG-510,★★
2021-09-26 18:46:18,EQUIP,NORMAL,120/92/60/152,TEXO,37,IOP T1 Exoskeleton,★★
2021-09-26 18:46:18,EQUIP,NORMAL,120/92/60/152,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-09-26 18:46:18,EQUIP,NORMAL,120/92/60/152,XEXO,56,IOP X2 Exoskeleton,★★★
2021-09-26 18:46:18,EQUIP,NORMAL,120/92/60/152,CLOAK,88,Camouflage Cape,★★★
2021-09-27 18:00:57,GUN,NORMAL,91/400/400/30,SMG,33,m45,★★
2021-09-27 18:00:57,GUN,NORMAL,91/400/400/30,SMG,24,PP-2000,★★
2021-09-27 18:00:57,GUN,NORMAL,91/400/400/30,AR,61,StG44,★★★
2021-09-27 18:00:57,GUN,NORMAL,91/400/400/30,AR,262,EM-2,★★★★
2021-09-27 18:01:10,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-09-27 18:01:10,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-27 18:01:10,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-27 18:01:10,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-28 22:41:05,GUN,NORMAL,91/400/400/30,AR,63,Gr G3,★★
2021-09-28 22:41:05,GUN,NORMAL,91/400/400/30,AR,107,FF F2000,★★
2021-09-28 22:41:05,GUN,NORMAL,91/400/400/30,SMG,25,MP40,★★
2021-09-28 22:41:05,GUN,NORMAL,91/400/400/30,AR,63,Gr G3,★★
2021-09-28 22:41:12,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-28 22:41:12,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-28 22:41:12,EQUIP,NORMAL,180/20/200/20,CLOAK,89,Urban Camouflage Cape,★★★★
2021-09-28 22:41:12,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-29 17:44:21,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,12,ITI MARS,★★★★★
2021-09-29 17:44:24,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-09-29 17:44:27,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,10,Reinforcement Fairy,★
2021-09-29 18:00:25,GUN,NORMAL,91/400/400/30,SMG,33,m45,★★
2021-09-29 18:00:25,GUN,NORMAL,91/400/400/30,AR,107,FF F2000,★★
2021-09-29 18:00:25,GUN,NORMAL,91/400/400/30,AR,68,L85A1,★★
2021-09-29 18:00:25,GUN,NORMAL,91/400/400/30,AR,61,StG44,★★★
2021-09-29 18:00:35,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-29 18:00:35,EQUIP,NORMAL,180/20/200/20,CLOAK,89,Urban Camouflage Cape,★★★★
2021-09-29 18:00:35,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
