Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2021-09-25 19:26:02,10134,Yellow Zone,3,MG,LWMMG,2,0,,,
2021-09-25 19:26:47,10134,Yellow Zone,3,HG,Bren Ten,2,0,,,
2021-09-25 19:28:09,10134,Yellow Zone,3,RF,FF FN49,2,0,,,
2021-09-25 19:30:31,10134,Yellow Zone,4,HG,FF FNP9,2,0,,,
2021-09-25 19:30:51,10134,Yellow Zone,4,HG,FF FNP9,2,0,,,
2021-09-25 19:31:22,10134,Yellow Zone,4,MG,AAT-52,2,0,,,
2021-09-25 19:32:18,10134,Yellow Zone,4,HG,FF FNP9,2,0,,,
2021-09-25 19:35:05,10134,Yellow Zone,5,AR,Gr G3,2,0,,,
2021-09-25 19:35:24,10134,Yellow Zone,5,AR,Galil,2,0,,,
2021-09-25 19:36:02,10134,Yellow Zone,5,RF,SKS,2,0,,,
2021-09-25 19:39:06,10134,Yellow Zone,5,SMG,Skorpion,3,1,,,
2021-09-25 19:39:37,10134,Yellow Zone,5,AR,FF F2000,2,0,,,
2021-09-25 19:42:15,10136,Mark,1,RF,SVT-38,2,0,,,
2021-09-25 19:54:27,10136,Mark,1,RF,VM59,2,0,,,
2021-09-25 19:57:31,10136,Mark,1,SMG,Type64,2,0,,,
2021-09-25 19:58:07,10136,Mark,1,SMG,IDW,2,0,,,
2021-09-25 19:59:12,10136,Mark,1,RF,SVT-38,2,0,,,
2021-09-25 20:41:43,10136,Mark,2,HG,Gr USPCompact,2,0,,,
2021-09-25 20:42:08,10136,Mark,2,SMG,PPSh-41,2,0,,,
2021-09-25 20:44:03,10136,Mark,2,SMG,STEN MkⅡ,3,1,,,
2021-09-25 20:46:07,10136,Mark,2,SMG,m45,2,0,,,
2021-09-25 20:46:28,10136,Mark,2,HG,MP-446,2,0,,,
2021-09-25 20:48:45,10136,Mark,2,RF,SVT-38,2,0,,,
2021-09-25 20:54:16,10136,Mark,2,SMG,m45,2,0,,,
2021-09-27 15:06:00,124,Morning Conference IV,2482,HG,P38,2,0,,,
2021-09-27 15:06:32,124,Morning Conference IV,2482,HG,M1911,2,0,,,
2021-09-27 15:07:25,124,Morning Conference IV,2482,SMG,Ingram,3,1,,,
2021-09-27 15:07:38,124,Morning Conference IV,2482,HG,P38,2,0,,,
2021-09-27 15:09:03,124,Morning Conference IV,2483,RF,FF FN49,2,0,,,
2021-09-27 15:09:28,124,Morning Conference IV,2483,MG,AAT-52,2,0,,,
2021-09-27 15:10:00,124,Morning Conference IV,2483,MG,LWMMG,2,0,,,
2021-09-27 15:10:27,124,Morning Conference IV,2483,MG,LWMMG,2,0,,,
2021-09-27 15:10:40,124,Morning Conference IV,2483,MG,MG34,2,0,,,
2021-09-27 15:12:15,124,Morning Conference IV,2484,HG,Bren Ten,2,0,,,
2021-09-27 15:12:51,124,Morning Conference IV,2484,AR,AK-47,3,1,,,
2021-09-27 15:13:43,124,Morning Conference IV,2484,RF,FF FN49,2,0,,,
2021-09-27 15:13:56,124,Morning Conference IV,2484,RF,FF FN49,2,0,,,
2021-09-27 15:17:05,124,Morning Conference IV,2485,AR,Gr G3,2,0,,,
2021-09-27 15:17:35,124,Morning Conference IV,2485,HG,M9,3,1,,,
2021-09-27 15:18:07,124,Morning Conference IV,2485,RF,SKS,2,0,,,
2021-09-27 15:18:33,124,Morning Conference IV,2485,SMG,Spectre M4,2,0,,,
2021-09-27 15:18:47,124,Morning Conference IV,2485,HG,P38,2,0,,,
2021-09-27 15:19:56,124,Morning Conference IV,2486,MG,LWMMG,2,0,,,
2021-09-27 15:20:30,124,Morning Conference IV,2486,AR,AK-47,3,1,,,
2021-09-27 15:21:23,124,Morning Conference IV,2486,HG,P38,2,0,,,
2021-09-27 15:21:37,124,Morning Conference IV,2486,HG,FF FNP9,2,0,,,
2021-09-27 15:22:29,124,Morning Conference IV,2487,SMG,PP-2000,2,0,,,
2021-09-27 15:22:54,124,Morning Conference IV,2487,MG,MG34,2,0,,,
2021-09-27 15:23:25,124,Morning Conference IV,2487,MG,M2HB,3,1,,,
2021-09-27 15:23:51,124,Morning Conference IV,2487,AR,FF F2000,2,0,,,
2021-09-27 15:24:05,124,Morning Conference IV,2487,SMG,M3,2,0,,,
2021-09-27 15:25:08,124,Morning Conference IV,2488,HG,M1911,2,0,,,
2021-09-27 15:25:34,124,Morning Conference IV,2488,HG,M9,3,1,,,
2021-09-27 15:26:10,124,Morning Conference IV,2488,MG,M2HB,3,1,,,
