Area ID,Area Name,Battle Type,Doll ID,Type,Name,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Predicted Damage,Rank
714,Elementary4,Night,20055,AR,M4A1 Mod,200,1,10,10,Optical,HV Round,Exclusive,8492,743,1
714,Elementary4,Night,183,HG,Contender,100,0,10,0,Silencer,AP Round,T-Exo,4437,610,2
714,Elementary4,Night,20097,HG,M950A Mod,100,0,10,10,Silencer,HP Round,X-Exo,4263,586,3
714,Elementary4,Night,54,AR,M16A1,100,0,10,0,HV Round,Armor Plate,Exclusive,6668,583,4
714,Elementary4,Night,20057,AR,ST AR-15 Mod,200,1,10,10,Optical,Optical,Exclusive,6316,552,5
714,Elementary4,Night,20056,AR,M4 SOPMOD II Mod,200,1,10,10,Optical,Exclusive,HV Round,6304,551,6
714,Elementary4,Night,20065,AR,416 Mod,150,1,10,10,Exclusive,HV Round,T-Exo,6293,550,7
714,Elementary4,Night,20001,HG,SAA Mod,95.2197,0,10,10,Exclusive,HP Round,T-Exo,3991,548,8
714,Elementary4,Night,213,SMG,C-MS,100,0,10,0,T-Exo,AP Round,Red Dot,7291,546,9
714,Elementary4,Night,1027,AR,Angelica,100,0,8,0,Optical,HV Round,Exclusive,6146,537,10
714,Elementary4,Night,242,HG,P22,100,0,10,0,Silencer,HP Round,X-Exo,3865,531,11
714,Elementary4,Night,126,HG,NZ75,100,0,10,0,Exclusive,HP Round,X-Exo,3854,529,12
714,Elementary4,Night,1017,HG,Jill Stingray,100,0,10,0,Silencer,HP Round,T-Exo,3811,524,13
714,Elementary4,Night,114,HG,Welrod MkⅡ,100,0,10,0,Silencer,HP Round,T-Exo,3798,522,14
714,Elementary4,Night,250,HG,HS2000,100,0,10,0,Silencer,HP Round,X-Exo,3783,520,15
714,Elementary4,Night,73,AR,AUG,150,1,10,0,Optical,HV Round,T-Exo,5867,513,16
714,Elementary4,Night,205,AR,AN-94,150,1,10,0,Optical,HV Round,T-Exo,5867,513,17
714,Elementary4,Night,272,HG,Desert Eagle,100,0,10,0,Silencer,HP Round,T-Exo,3724,512,18
714,Elementary4,Night,20007,HG,Stechkin Mod,95.1365,0,10,0,Silencer,HP Round,T-Exo,3707,509,19
714,Elementary4,Night,142,HG,Five-seven,100,0,10,0,Silencer,HP Round,X-Exo,3658,502,20
714,Elementary4,Night,206,AR,AK-12,100,0,10,0,Optical,HV Round,T-Exo,5708,499,21
714,Elementary4,Night,122,AR,Gr G11,150,1,10,0,Optical,HV Round,T-Exo,5629,492,22
714,Elementary4,Night,236,AR,K11,100,0,10,0,Optical,HV Round,T-Exo,5545,485,23
714,Elementary4,Night,20060,AR,AS Val Mod,100,0,10,10,Optical,HV Round,T-Exo,5533,484,24
714,Elementary4,Night,129,AR,Type95,100,0,10,0,Exclusive,HV Round,T-Exo,5443,476,25
714,Elementary4,Night,106,AR,FAL,100,0,10,0,Optical,HV Round,T-Exo,5336,466,26
714,Elementary4,Night,196,AR,Zas M21,100,0,10,0,Optical,HV Round,X-Exo,5269,461,27
714,Elementary4,Night,127,SMG,Type79,100,0,4,0,X-Exo,Exclusive,Red Dot,5875,440,28
714,Elementary4,Night,1028,SMG,Agent Vector,100,0,8,0,Exclusive,Exclusive,Red Dot,5497,412,29
714,Elementary4,Night,20053,RF,NTW-20 Mod,200,1,10,10,Exclusive,Optical,Camo Cloak,7703,385,30
714,Elementary4,Night,20252,RF,KSVK Mod,200,1,8,10,Exclusive,Optical,Camo Cloak,7473,373,31
714,Elementary4,Night,20037,RF,M14 Mod,200,1,10,10,AP Round,Exclusive,Camo Cloak,7348,367,32
714,Elementary4,Night,20095,RF,Type88 Mod,200,1,10,10,Exclusive,Exclusive,Camo Cloak,7093,354,33
714,Elementary4,Night,1024,RF,Rico,100,0,10,0,AP Round,Optical,Exclusive,6907,345,34
714,Elementary4,Night,198,RF,Carcano M91/38,150,1,10,0,AP Round,Optical,Camo Cloak,6772,338,35
714,Elementary4,Night,266,RF,R93,100,0,10,0,AP Round,Optical,Camo Cloak,6481,324,36
714,Elementary4,Night,296,RF,Gr SL8,150,1,10,0,AP Round,Optical,Camo Cloak,6462,323,37
714,Elementary4,Night,261,RF,QBU-88,93.5831,0,8,0,AP Round,Optical,Camo Cloak,6427,321,38
714,Elementary4,Night,48,RF,WA2000,100,0,10,0,AP Round,Optical,Camo Cloak,6384,319,39
714,Elementary4,Night,50,RF,Lee Enfield,100,0,10,0,AP Round,Exclusive,Camo Cloak,6293,314,40
714,Elementary4,Night,257,RF,M200,100,0,10,0,AP Round,Optical,Camo Cloak,6238,311,41
714,Elementary4,Night,1031,RF,Pekola,53.7941,0,10,0,AP Round,Optical,Exclusive,6158,307,42
714,Elementary4,Night,188,SG,S.A.T.8,100,0,10,0,Armor Plate,Buckshot Shell,Red Dot,8040,301,43
714,Elementary4,Night,197,RF,Carcano M1891,100,0,10,0,AP Round,Optical,Camo Cloak,5900,295,44
714,Elementary4,Night,282,SG,DP-12,100,0,10,0,Armor Plate,Buckshot Shell,Red Dot,7734,290,45
714,Elementary4,Night,148,RF,IWS 2000,100,0,6,0,AP Round,Optical,Camo Cloak,5769,288,46
714,Elementary4,Night,20154,SG,M500 Mod,100,0,1,10,Armor Plate,Buckshot Shell,Red Dot,7370,276,47
714,Elementary4,Night,323,SG,LTLX7000,100,0,10,0,Armor Plate,Buckshot Shell,Holographic,7099,266,48
714,Elementary4,Night,157,SG,Am KSG,100,0,8,0,Armor Plate,Buckshot Shell,Holographic,6893,258,49
714,Elementary4,Night,292,MG,RPK-16,150,1,10,0,AP Round,Optical,Ammo Box,8933,223,50
714,Elementary4,Night,253,MG,Lewis,95.5817,0,8,0,AP Round,Optical,Ammo Box,8115,202,51
714,Elementary4,Night,164,SG,FP-6,100,0,3,0,Armor Plate,Buckshot Shell,Holographic,5295,198,52
714,Elementary4,Night,162,SG,SPAS-12,100,0,1,0,Armor Plate,Buckshot Shell,Holographic,5053,189,53
714,Elementary4,Night,1025,SG,Triela,100,0,4,0,Armor Plate,Exclusive,Holographic,5064,189,54
714,Elementary4,Night,229,SG,M870,100,0,10,0,Armor Plate,Buckshot Shell,Holographic,4757,178,55
714,Elementary4,Night,156,SG,Super-Shorty,100,0,1,0,Armor Plate,Buckshot Shell,Holographic,4240,159,56
714,Elementary4,Night,1029,AR,Agent 416,150,1,8,0,Optical,Exclusive,X-Exo,1067,93,57
714,Elementary4,Night,159,SG,RMB-93,50,0,4,0,Armor Plate,Buckshot Shell,Holographic,1680,63,58
714,Elementary4,Night,326,SG,512,50,0,1,0,Armor Plate,Slug Shell,Holographic,914,34,59
