Area ID,Area Name,Battle Type,Doll ID,Type,Name,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Predicted Damage,Rank
714,Elementary4,Night,20055,AR,M4A1 Mod,190.2454,1,10,10,Optical,HV Round,Exclusive,8492,743,1
714,Elementary4,Night,183,HG,Contender,90.4904,0,9,0,Auxiliary Sights,AP Round,T-Exo,4822,663,2
714,Elementary4,Night,20056,AR,M4 SOPMOD II Mod,200,1,10,10,Optical,Exclusive,HV Round,7224,632,3
714,Elementary4,Night,20097,HG,M950A Mod,180.0942,1,10,10,Exclusive,HP Round,X-Exo,4508,619,4
714,Elementary4,Night,20057,AR,ST AR-15 Mod,197.7097,1,10,10,Optical,Exclusive,Exclusive,6859,600,5
714,Elementary4,Night,20001,HG,SAA Mod,190.1159,1,9,9,Exclusive,HP Round,T-Exo,4133,568,6
714,Elementary4,Night,20026,SMG,Gr MP5 Mod,195.1411,1,9,9,Exclusive,HP Round,Exclusive,7324,549,7
714,Elementary4,Night,20143,SMG,RO635 Mod,180.9962,1,10,10,Exclusive,HP Round,Red Dot,7284,546,8
714,Elementary4,Night,20122,AR,Gr G11 Mod,95.1159,0,10,10,Optical,HV Round,T-Exo,6070,531,9
714,Elementary4,Night,242,HG,P22,95.1375,0,10,0,Silencer,HP Round,X-Exo,3865,531,10
714,Elementary4,Night,20060,AR,AS Val Mod,200,1,10,10,Optical,Exclusive,T-Exo,6030,527,11
714,Elementary4,Night,115,SMG,Suomi,100,0,7,0,Exo,HP Round,Red Dot,5784,520,12
714,Elementary4,Night,250,HG,HS2000,100,0,10,0,Silencer,HP Round,X-Exo,3783,520,13
714,Elementary4,Night,1017,HG,Jill Stingray,100,0,8,0,Silencer,Exclusive,Exclusive,3241,445,14
714,Elementary4,Night,1029,AR,Agent 416,100,0,10,0,Optical,HV Round,Exclusive,4874,426,15
714,Elementary4,Night,1028,SMG,Agent Vector,100,0,10,0,Exclusive,Exclusive,Red Dot,5562,417,16
714,Elementary4,Night,20037,RF,M14 Mod,200,1,10,9,AP Round,Exclusive,Camo Cloak,7336,366,17
714,Elementary4,Night,20252,RF,KSVK Mod,145.0137,1,10,10,AP Round,Optical,Camo Cloak,7039,351,18
714,Elementary4,Night,1024,RF,Rico,100,0,10,0,AP Round,Optical,Exclusive,6907,345,19
714,Elementary4,Night,48,RF,WA2000,100,0,8,0,AP Round,Optical,Camo Cloak,6670,333,20
