ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
32433,1001,★★★,Scarecrow,,90,1972345,5045,107955,x1,★★★★★,◆,1036,1036,5,1,2,1,1003,Phantom Stance,1002,Night Vision,100,,,Locked
32434,2003,★★,Aegis,S,4,432,32,268,x2,★★,◆,247,247,0,0,1,0,0,,0,,42,,,Locked
32435,3001,★,Ripper,M,1,0,0,100,x5,★,◆◆◆◆,405,405,0,0,0,0,0,,0,,50,,,Locked
32436,3005,★,Striker,M,1,0,0,100,x5,★,◆◆◆◆,322,322,0,0,0,0,0,,0,,50,,,Locked
32675,3004,★,Jaeger,L,70,654490,10490,36810,x5,★,◆◆◆◆,400,400,0,0,0,0,0,,0,,75,,,Locked
122994,2002,★★,Dragoon,S,1,0,0,100,x2,★★,◆,225,225,0,0,1,0,0,,0,,50,,,Locked
141102,2001,★★,Brute,M,1,0,0,100,x5,★★,◆◆◆◆,324,324,0,0,1,0,0,,0,,50,,,Locked
141106,3007,★,Scout,L,1,0,0,100,x3,★,◆◆,186,186,0,0,0,0,0,,0,,50,,,Locked
169873,3008,★,Prowler,XL,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,Locked
339970,2006,★★,Manticore,XL,90,1971032,3732,109268,x1,★★★★★,◆◆◆◆,1542,1542,0,0,2,1,0,,0,,100,,,Locked
360506,3002,★,Vespid,L,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,50,,,Locked
367927,3003,★,Guard,S,1,0,0,100,x1,★,,109,109,0,0,0,0,0,,0,,50,,,Locked
367930,2004,★★,Nemeum,L,70,679690,35690,11610,x5,★★★,◆◆◆◆,741,741,0,0,1,0,0,,0,,100,,,Locked
400327,3007,★,Scout,M,1,0,0,100,x5,★,◆◆◆◆,307,307,0,0,0,0,0,,0,,50,,,
400329,3006,★,Dinergate,M,1,0,0,100,x5,★,◆◆◆◆,157,157,0,0,0,0,0,,0,,50,,,Locked
400332,3003,★,Guard,M,1,0,0,100,x1,★,,110,110,0,0,0,0,0,,0,,50,,,
415056,2005,★★,Tarantula,M,4,432,32,268,x2,★★,◆,68,68,0,0,1,0,0,,0,,40,,,Locked
415063,2005,★★,Tarantula,L,4,432,32,268,x5,★★,◆◆◆◆,170,170,0,0,1,0,0,,0,,50,,,
415065,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
415075,3005,★,Striker,XS,1,0,0,100,x5,★,◆◆◆◆,318,318,0,0,0,0,0,,0,,50,,,Locked
415082,3008,★,Prowler,XS,1,0,0,100,x2,★,◆,146,146,0,0,0,0,0,,0,,50,,,Locked
429375,3004,★,Jaeger,L,1,0,0,100,x5,★,◆◆◆◆,267,267,0,0,0,0,0,,0,,50,,,
429380,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
434981,3003,★,Guard,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,Locked
434987,3003,★,Guard,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,
434996,3006,★,Dinergate,XS,1,0,0,100,x5,★,◆◆◆◆,155,155,0,0,0,0,0,,0,,50,,,Locked
435042,3007,★,Scout,S,1,0,0,100,x5,★,◆◆◆◆,304,304,0,0,0,0,0,,0,,50,,,
435044,1004,★★★,Intruder,,1,0,0,100,x1,★★★,,649,649,2,1,1,0,0,,0,,50,,,Locked
435048,2002,★★,Dragoon,L,1,0,0,100,x5,★★,◆◆◆◆,573,573,0,0,1,0,0,,0,,50,,,
435049,2003,★★,Aegis,M,5,972,272,128,x5,★★,◆◆◆◆,628,628,0,0,2,0,0,,0,,52,,,
526066,2008,★★,Guard_SWAP,M,21,15432,32,1468,x2,★★,◆,290,290,0,0,1,0,0,,0,,42,,,Locked
596847,3009,★,Jaguar,L,70,654250,10250,37050,x5,★,◆◆◆◆,348,348,0,0,0,0,0,,0,,84,,,Locked
596850,3003,★,Guard,M,1,0,0,100,x1,★,,110,110,0,0,0,0,0,,0,,50,,,
626337,2004,★★,Nemeum,M,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,
651701,2006,★★,Manticore,XL,90,1972020,4720,108280,x1,★★★★★,◆◆◆◆,1542,1542,0,0,5,1,0,,0,,100,,,
712016,3006,★,Dinergate,L,1,0,0,100,x5,★,◆◆◆◆,158,158,0,0,0,0,0,,0,,50,,,
712040,3003,★,Guard,M,1,0,0,100,x1,★,,110,110,0,0,0,0,0,,0,,50,,,
715604,3006,★,Dinergate,L,1,0,0,100,x1,★,,32,32,0,0,0,0,0,,0,,50,,,
715605,3004,★,Jaeger,M,1,0,0,100,x5,★,◆◆◆◆,265,265,0,0,0,0,0,,0,,50,,,
715606,3005,★,Striker,M,1,0,0,100,x5,★,◆◆◆◆,322,322,0,0,0,0,0,,0,,50,,,
715607,3006,★,Dinergate,M,1,0,0,100,x1,★,,32,32,0,0,0,0,0,,0,,50,,,
717932,2008,★★,Guard_SWAP,L,1,0,0,100,x1,★★,,127,127,0,0,1,0,0,,0,,50,,,
721765,3003,★,Guard,M,1,0,0,100,x1,★,,110,110,0,0,0,0,0,,0,,50,,,
721766,2004,★★,Nemeum,M,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,
721767,2002,★★,Dragoon,XL,1,0,0,100,x5,★★,◆◆◆◆,576,576,0,0,1,0,0,,0,,50,,,Locked
721768,3004,★,Jaeger,L,1,0,0,100,x5,★,◆◆◆◆,267,267,0,0,0,0,0,,0,,50,,,
721771,3005,★,Striker,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
721780,2009,★★,Ripper SWAP,XS,1,0,0,100,x1,★★,,98,98,0,0,1,0,0,,0,,50,,,Locked
721781,3006,★,Dinergate,XL,1,0,0,100,x5,★,◆◆◆◆,159,159,0,0,0,0,0,,0,,50,,,Locked
721782,3007,★,Scout,XL,1,0,0,100,x5,★,◆◆◆◆,311,311,0,0,0,0,0,,0,,50,,,Locked
721783,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
721784,3001,★,Ripper,XL,1,0,0,100,x5,★,◆◆◆◆,411,411,0,0,0,0,0,,0,,50,,,Locked
721785,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
727121,3007,★,Scout,L,1,0,0,100,x1,★,,62,62,0,0,0,0,0,,0,,50,,,
731488,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
731489,2010,★★,Vespid_SWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,433,433,0,0,1,0,0,,0,,50,,,Locked
740017,3005,★,Striker,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
742909,1007,★★★,Ouroboros,,70,659520,15520,31780,x1,★★★★,,970,970,3,1,1,1,0,,0,,100,,,Locked
742912,2004,★★,Nemeum,M,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,
742916,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
742917,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
772852,2001,★★,Brute,XL,1,0,0,100,x3,★★,◆◆,198,198,0,0,1,0,0,,0,,50,,,Locked
786422,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
831770,3009,★,Jaguar,L,1,0,0,100,x1,★,,48,48,0,0,0,0,0,,0,,50,,,
831773,3001,★,Ripper,XL,1,0,0,100,x1,★,,83,83,0,0,0,0,0,,0,,50,,,
831780,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
831781,3005,★,Striker,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
842840,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
842845,3005,★,Striker,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
864256,2002,★★,Dragoon,L,1,0,0,100,x1,★★,,115,115,0,0,1,0,0,,0,,50,,,
