ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
230175,5,HG,★★,M1895,9,3734,0,0,x1,,38,38,13,10,18,31,15,0,0,20,10,0,,,,55,,,Locked
230176,9,HG,★★,P38,6,1930,0,0,x1,,35,35,11,9,14,39,15,0,0,20,1,0,,,,55,,,Locked
230829,90,HG,★★,FF FNP9,3,570,0,0,x1,,31,31,12,8,13,43,15,0,0,20,1,0,,,,50,,,Locked
230836,10,HG,★★,PPK,35,75238,0,0,x3,,114,114,15,25,43,50,15,0,0,20,2,0,,,,50,,,Locked
230839,71,AR,★★,Galil,30,45654,0,0,x3,,204,204,29,18,17,50,10,0,0,20,1,0,,,,100,,,Locked
230871,29,SMG,★★★,STEN MkⅡ,20,20813,0,0,x2,,222,222,13,5,22,57,12,0,0,5,1,0,,,,27,,,Locked
231240,75,MG,★★★★,M1918,22,24754,0,0,x2,,190,190,48,10,10,84,4,0,8,5,1,0,,,,46,,,Locked
232094,92,SMG,★★,Spectre M4,1,0,0,0,x1,,88,88,10,2,10,63,12,0,0,5,1,0,,,,50,,,Locked
233945,17,SMG,★★,M3,45,156865,0,0,x3,,402,402,20,7,35,56,12,0,0,5,1,0,,,,67,,,Locked
234753,27,SMG,★★★,Skorpion,10,4580,0,0,x2,,174,174,12,4,19,68,12,0,0,5,1,0,,,,100,,,Locked
235639,63,AR,★★,Gr G3,3,540,0,0,x1,,57,57,21,7,6,42,10,0,0,20,1,0,,,,50,,,Locked
235716,20037,RF,★★★★,M14 Mod,115,11867904,0,0,x5,Mod3,430,430,127,84,33,44,7,0,0,40,10,9,,,,200,Oathed,2019-09-25 00:35,Locked
241854,106,AR,★★★★★,FAL,91,2121633,0,0,x5,,630,630,57,41,37,70,10,0,0,20,7,0,,,,95,,,Locked
243220,91,HG,★★,MP-446,1,0,0,0,x1,,33,33,11,7,9,40,15,0,0,20,1,0,,,,55,,,Locked
244772,52,RF,★★,VM59,1,0,0,0,x1,,49,49,43,8,4,27,7,0,0,40,1,0,,,,50,,,Locked
244790,31,SMG,★★,M38,1,0,0,0,x1,,102,102,12,2,7,52,12,0,0,5,1,0,,,,50,,,Locked
253517,33,SMG,★★,m45,12,7272,0,0,x2,,206,206,14,4,15,55,12,0,0,5,1,0,,,,62,,,Locked
253526,51,RF,★★,FF FN49,1,0,0,0,x1,,47,47,41,8,4,22,7,0,0,40,1,0,,,,50,,,Locked
253554,41,RF,★★,SKS,1,0,0,0,x1,,47,47,39,8,5,24,7,0,0,40,1,0,,,,50,,,Locked
253561,62,AR,★★★★★,Gr G41,70,707258,0,0,x4,,432,432,41,35,29,70,10,0,0,20,1,0,,,,53,,,Locked
326863,133,AR,★★,Type63,1,0,0,0,x1,,50,50,19,5,5,50,10,0,0,20,1,0,,,,65,,,Locked
326944,66,AR,★★★★,Type56-1,31,50553,0,0,x3,,270,270,30,14,14,55,10,0,0,20,1,0,,,,47,,,Locked
327032,47,RF,★★,G43,1,0,0,0,x1,,40,40,41,8,4,27,7,0,0,40,1,0,,,,50,,,Locked
338086,74,AR,★★,SIG-510,1,0,0,0,x1,,58,58,20,5,5,39,10,0,0,20,1,0,,,,50,,,Locked
338386,107,AR,★★,FF F2000,1,0,0,0,x1,,53,53,16,6,6,57,10,0,0,20,1,0,,,,50,,,Locked
338406,24,SMG,★★,PP-2000,1,0,0,0,x1,,80,80,12,2,11,57,12,0,0,5,1,0,,,,50,,,Locked
339200,68,AR,★★,L85A1,1,0,0,0,x1,,47,47,16,5,5,52,10,0,0,20,1,0,,,,50,,,Locked
391132,22,SMG,★★★,PPS-43,32,54960,0,0,x3,,348,348,20,6,27,59,12,0,0,5,1,0,,,,51,,,Locked
437648,20060,AR,★★★★★,AS Val Mod,116,13180756,0,0,x5,Mod3,675,675,49,58,58,76,10,0,0,20,10,10,,,,200,Oathed,2020-08-19 04:39,Locked
471208,44,RF,★★★,SV-98,55,314539,0,0,x3,,195,195,92,48,18,32,7,0,0,40,1,0,,,,100,,,Locked
471215,105,AR,★★★,OTs-12,4,648,0,0,x1,,54,54,16,9,9,49,10,0,0,20,1,0,,,,50,,,Locked
559176,20103,SMG,★★★★★,UMP45 Mod,117,15322846,0,0,x5,Mod3,975,975,34,17,89,83,12,0,0,5,10,10,,,Additional Computing Module,200,Oathed,2020-02-23 13:48,Locked
588695,77,MG,★★★,M2HB,90,1989026,0,0,x5,,1020,1020,101,18,16,97,4,0,10,5,4,0,,,,100,,,Locked
588837,58,AR,★★★,AK-47,6,2000,0,0,x1,,70,70,22,7,7,46,10,0,0,20,1,0,,,,50,,,Locked
848574,21,SMG,★★,PPSh-41,1,0,0,0,x1,,97,97,11,3,9,65,12,0,0,5,1,0,,,,100,,,Locked
1268424,94,SMG,★★,Type64,1,0,0,0,x1,,88,88,11,2,9,65,12,0,0,5,1,0,,,,55,,,Locked
1390472,39,RF,★★★★,Mosin-Nagant,75,981439,0,0,x4,,308,308,116,70,32,28,7,0,0,40,5,0,,,,100,,,Locked
1390522,40,RF,★★,SVT-38,1,0,0,0,x1,,42,42,43,8,5,24,7,0,0,40,1,0,,,,50,,,Locked
1654017,16,SMG,★★★★★,Thompson,19,18375,0,0,x2,,282,282,16,4,17,62,12,0,0,5,1,0,,,,50,,,Locked
1654417,34,RF,★★★,M1 Garand,33,63090,0,0,x3,,177,177,75,29,13,30,7,0,0,40,1,0,,,,100,,,Locked
1656480,14,HG,★★★,Astra,1,0,0,0,x1,,40,40,12,6,9,35,15,0,0,20,1,0,,,,55,,,Locked
1892082,138,AR,★★★,6P62,1,0,0,0,x1,,61,61,24,5,4,36,10,0,0,20,1,0,,,,50,,,Locked
2075135,48,RF,★★★★★,WA2000,100,3263300,-,-,x5,,440,440,137,87,32,39,7,0,0,40,8,0,,,,100,,,Locked
2075224,43,RF,★★★★,SVD,95,2676613,0,0,x5,,390,390,133,80,34,37,7,0,0,40,6,0,,,,100,,,Locked
2557654,82,MG,★★,DP28,1,0,0,0,x1,,71,71,31,4,4,76,4,0,9,5,1,0,,,,50,,,Locked
2557700,26,SMG,★★★★,Gr MP5,1,0,0,0,x1,,84,84,12,2,10,63,12,0,0,5,1,0,,,,55,,,Locked
3082431,64,AR,★★★★,Gr G36,87,1799681,0,0,x4,,476,476,47,41,39,69,10,0,0,20,6,0,,,,100,,,Locked
3893516,42,RF,★★★★,PTRD,1,0,0,0,x1,,47,47,54,9,4,18,7,0,0,40,1,0,,,,60,,,Locked
6422385,87,MG,★★,MG34,1,0,0,0,x1,,83,83,32,3,4,83,4,0,10,5,1,0,,,,50,,,Locked
8852135,69,AR,★★★★,Fr FAMAS,3,400,0,0,x1,,62,62,18,8,7,58,10,0,0,20,1,0,,,,50,,,Locked
10056784,154,SG,★★★,M500,1,0,0,0,x1,,132,132,13,2,2,21,6,3,4,40,1,0,,,,50,,,Locked
12210238,54,AR,★★★★,M16A1,39,98935,0,0,x3,,252,252,30,22,21,61,10,0,0,20,4,0,,,,68,,,Locked
12323179,153,SG,★★★★,M37,11,6000,0,0,x2,,280,280,16,3,3,20,6,5,4,40,1,0,,,,50,,,Locked
13300887,104,SMG,★★★★★,Gr G36c,68,662716,0,0,x3,,510,510,28,10,51,76,12,0,0,5,3,0,,,,100,,,Locked
13575723,88,MG,★★★★,MG3,1,0,0,0,x1,,99,99,32,4,3,90,4,0,10,5,1,0,,,,65,,,Locked
14662626,98,HG,★★★★,SPP-1,3,400,0,0,x1,,39,39,13,9,11,32,15,0,0,20,1,0,,,,60,,,Locked
14943903,124,RF,★★★,Super SASS,68,638377,0,0,x3,,222,222,97,50,21,35,7,0,0,40,5,0,,,,100,,,Locked
15143513,110,MG,★★,FG42,1,0,0,0,x1,,75,75,32,4,5,83,4,0,8,5,1,0,,,,50,,,Locked
15819279,130,AR,★★★★★,Type97,70,713146,0,0,x4,,392,392,47,40,36,65,10,0,0,20,2,0,,,,100,,,Locked
15866385,115,SMG,★★★★★,Suomi,96,2712765,0,0,x5,,1080,1080,29,15,57,91,12,0,0,5,7,0,,,,100,,,Locked
17722719,129,AR,★★★★★,Type95,97,2919191,0,0,x5,,570,570,57,54,48,70,10,0,0,20,8,0,,,,95,,,Locked
18682027,36,RF,★★★★,Springfield,78,1139739,0,0,x4,,300,300,121,64,36,29,7,0,0,40,6,0,,,,150,Oathed,2019-09-02 03:30,Locked
19646775,166,HG,★★★★★,CZ75,52,267859,0,0,x3,,150,150,26,38,46,56,15,0,0,20,2,0,,,,100,,,Locked
25661155,111,MG,★★,AAT-52,1,0,0,0,x1,,91,91,34,4,4,87,4,0,10,5,1,0,,,,50,,,Locked
26115011,85,MG,★★★★,PK,98,3034629,0,0,x5,,940,940,100,23,25,83,4,0,11,5,5,0,,,,100,,,Locked
26966770,141,HG,★★,Gr USPCompact,1,0,0,0,x1,,33,33,9,8,11,44,15,0,0,20,1,0,,,,50,,,Locked
26966828,155,SG,★★★★,M590,70,706500,0,0,x4,,896,896,28,10,9,28,6,16,4,40,3,0,,,,100,,,Locked
26966875,161,SG,★★★★,Type97S,1,0,0,0,x1,,132,132,13,2,2,19,6,3,3,40,1,0,,,,50,,,Locked
27063176,159,SG,★★★,RMB-93,1,0,0,0,x1,,121,121,12,2,2,20,6,3,4,40,1,0,,,,50,,,Locked
28413872,132,HG,★★★,Type59,90,1979926,0,0,x5,,285,285,26,56,87,59,15,0,0,20,7,0,,,,78,,,Locked
28871849,139,HG,★★,Bren Ten,1,0,0,0,x1,,35,35,12,7,9,40,15,0,0,20,1,0,,,,50,,,Locked
29018344,46,RF,★★★★★,Kar98k,71,762276,0,0,x4,,288,288,115,61,33,31,7,0,0,40,4,0,,,,100,,,Locked
32166442,131,SMG,★★★,EVO 3,29,44088,0,0,x2,,250,250,13,6,27,73,12,0,0,5,1,0,,,,55,,,Locked
32279079,196,AR,★★★★★,Zas M21,48,204400,0,0,x3,,270,270,38,28,24,61,10,0,0,20,3,0,,,,100,,,Locked
32830940,126,HG,★★★★★,NZ75,70,706316,0,0,x4,,248,248,27,46,54,57,15,0,0,20,2,0,,,,62,,,Locked
33535026,171,AR,★★★★,Ribeyrolles,90,1993977,0,0,x5,,525,525,62,42,38,61,10,0,0,20,3,0,,,,100,,,Locked
