ID,No.,Type,Star,Name,Doll ID,Doll,Damage,Accuracy,Evasion,Move Speed,Rate of Fire,Crit.Rate,Crit.Damage,Armor Pen.,Armor,Shield,Damage Amplify,Damage Reduction,Night View,Rounds,Equip Exp,Equip Level,Adjust Count,Locked
71065,31,High-velocity,★★★★,JHP High-Velocity Ammo,58863759,K11,5,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,0,0,0,
157179,16,Night Equipment,★★★★★,PEQ-16A,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,92%,0,0,0,0,Locked
227698,31,High-velocity,★★★★,JHP High-Velocity Ammo,-,-,5,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,0,0,0,
297372,65,Suppressor,★★★★,AC3 Suppressor,31213420,Contender,0,0,4,0,0,0%,9%,0,0,0,0%,0%,0%,0,0,0,0,
388832,39,T-Exo,★★★★,IOP T3 Exoskeleton,-,-,-5,0,14,0,0,0%,0%,0,0,0,0%,0%,0%,0,0,0,0,
433378,20,Armor-piercing,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,2557592,LWMMG Mod,0,0,0,0,0,0%,0%,175,0,0,0%,0%,0%,0,10000,10,0,
480876,65,Suppressor,★★★★,AC3 Suppressor,-,-,0,0,4,0,0,0%,9%,0,0,0,0%,0%,0%,0,0,0,0,
483401,16,Night Equipment,★★★★★,PEQ-16A,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,95%,0,0,0,0,Locked
483646,58,X-Exo,★★★★★,IOP X4 Exoskeleton,15913307,Gr G11 Mod,0,0,9,0,0,0%,0%,0,0,0,0%,0%,0%,0,250,1,0,
596131,20,Armor-piercing,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,0,0,0,0,0,0%,0%,165,0,0,0%,0%,0%,0,10000,10,0,Locked
667652,31,High-velocity,★★★★,JHP High-Velocity Ammo,-,-,5,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,0,0,0,
907550,32,High-velocity,★★★★★,APCR High-Velocity Ammo,722757,416 Mod,20,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,6,Locked
1622642,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,0,0,6,0,0,0%,0%,0,0,0,0%,0%,0%,0,0,0,0,
1832644,4,Optical,★★★★★,VFL 6-24X56,2557592,LWMMG Mod,0,0,0,0,0,0%,41%,0,0,0,0%,0%,0%,0,6675,8,4,Locked
1853189,49,Night Equipment,★★★★★,16Lab Infrared Designator,66618366,SCW,0,0,0,0,0,0%,0%,0,0,0,0%,0%,100%,0,0,0,0,
1913042,71,Hollow-point,★★★★,ILM Hollow-Point Ammo,-,-,4,0,0,0,0,0%,0%,-5,0,0,0%,0%,0%,0,0,0,0,
2033585,16,Night Equipment,★★★★★,PEQ-16A,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,95%,0,0,0,0,Locked
2073989,20,Armor-piercing,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,16,Locked
2073998,72,Hollow-point,★★★★★,ILM Hollow-Point Ammo,66618366,SCW,12,0,0,0,0,0%,0%,-7,0,0,0%,0%,0%,0,2200,5,6,
2263099,58,X-Exo,★★★★★,IOP X4 Exoskeleton,20955207,Vector,0,0,12,0,0,0%,0%,0,0,0,0%,0%,0%,0,1750,4,0,Locked
2296443,40,T-Exo,★★★★★,IOP T4 Exoskeleton,-,-,-6,0,28,0,0,0%,0%,0,0,0,0%,0%,0%,0,3700,6,2,Locked
2300308,20,Armor-piercing,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,14,Locked
2326899,16,Night Equipment,★★★★★,PEQ-16A,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,94%,0,0,0,0,Locked
2348612,80,Slug,★★★★★,SABOT Slug,82390453,SPAS-12,0,10,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,1900,5,0,
2415995,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,0,0,6,0,0,0%,0%,0,0,0,0%,0%,0%,0,0,0,0,
2515300,19,Armor-piercing,★★★★,Mk169 Armor-Piercing Ammo,-,-,0,0,0,0,0,0%,0%,94,0,0,0%,0%,0%,0,0,0,0,
2773682,66,Suppressor,★★★★★,AC4 Suppressor,125555682,HS2000,0,0,6,0,0,0%,13%,0,0,0,0%,0%,0%,0,300,1,0,
2773690,31,High-velocity,★★★★,JHP High-Velocity Ammo,-,-,5,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,0,0,0,
