ID,No,Rarity,Dev. Rate,Level,Name,Damage,Accuracy,Evasion,Armor,Crit.Damage,Talent,Skill,Locked
3218,1,★★★,1200,69,Warrior Fairy,12.6,40.8,20.4,5.4,0.0,Damage II,7,Locked
7256,2,★★★,500,3,Fury Fairy,3.2,0.0,8.4,2.4,8.4,Fervor,3,
9146,11,★,0,1,Parachute Fairy,5.6,0.0,5.2,1.2,6.4,Accuracy I,3,Locked
10983,5,★,0,1,Defense Fairy,4.0,0.0,14.4,3.6,0.0,Evasion I,1,Locked
13709,17,★★,200,10,Illumination Fairy,0.0,21.6,8.0,2.0,9.2,Critical II,3,Locked
15439,3,★,0,1,Armor Fairy,4.4,0.0,0.0,5.2,4.4,Critical I,1,Locked
16357,9,★★★,510,40,Airstrike Fairy,12.0,19.2,15.6,4.2,0.0,Fervor,5,Locked
20618,7,★,0,1,Sniper Fairy,0.0,17.6,5.6,3.2,7.2,Accuracy I,1,Locked
31578,6,★,0,16,Taunt Fairy,4.0,12.0,6.0,2.0,5.2,Accuracy I,4,Locked
33276,8,★,0,1,Artillery Fairy,10.8,0.0,11.2,1.2,0.0,Accuracy II,1,Locked
33959,2,★,0,1,Fury Fairy,2.8,0.0,8.0,2.0,8.0,Damage II,1,Locked
34819,16,★★★★,1700,59,Rescue Fairy,16.2,40.8,33.0,0.0,0.0,Damage II,10,Locked
48101,17,★★,250,60,Illumination Fairy,0.0,37.0,13.5,3.0,15.5,Evasion II,10,Locked
71142,8,★★★,1250,43,Artillery Fairy,23.4,0.0,24.0,3.0,0.0,Fervor,2,Locked
73463,18,★,0,18,Golden Fairy,3.2,9.2,7.6,2.0,4.0,Accuracy I,1,Locked
99560,1007,★,0,40,Anna Graem,7.2,9.2,19.2,2.4,0.0,Damage I,3,Locked
145927,3,★★,300,20,Armor Fairy,7.0,0.0,0.0,8.0,6.5,Damage II,4,Locked
217545,25,★★★,1150,40,Twin Fairies,7.2,24.6,19.2,5.4,0.0,Fervor,9,Locked
236469,20,★★,100,30,Fireworks Fairy,8.0,18.5,8.0,2.0,0.0,Fervor,1,Locked
256923,1005,★,0,1,Sehra & Nina,2.8,8.0,10.0,0.0,4.0,Armor II,1,Locked
261345,1006,★,0,1,Preiya & Camilia,4.4,10.0,2.0,2.0,4.4,Sturdy,1,Locked
264228,24,★,0,1,Barrier Fairy,0.0,14.8,6.4,4.4,0.0,Aim,1,Locked
264925,1004,★★★,200,1,Suee,0.0,0.0,14.0,3.6,6.0,Critical I,1,Locked
268918,24,★,0,1,Barrier Fairy,0.0,14.8,6.4,4.4,0.0,Critical II,1,
270460,1006,★,0,1,Preiya & Camilia,4.4,10.0,2.0,2.0,4.4,Aim,1,
274999,1006,★,0,1,Preiya & Camilia,4.4,10.0,2.0,2.0,4.4,Charge,1,
342918,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,3.2,Accuracy II,1,Locked
342919,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,3.2,Sturdy,1,
423068,22,★,0,1,Beach Fairy,3.2,0.0,4.0,0.0,3.2,Armor II,5,
514108,7,★,0,1,Sniper Fairy,0.0,17.6,5.6,3.2,7.2,Critical II,1,
518348,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0.0,Evasion II,10,
522147,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0.0,Charge,10,
522149,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0.0,Evasion II,10,
528416,27,★,0,1,Auspicious Fairy,3.2,12.0,16.0,0.0,4.0,Damage II,1,Locked
603402,1008,★,0,1,Kouji,3.2,5.2,12.0,3.2,0.0,Assault,1,Locked
611405,1008,★,0,1,Kouji,3.2,5.2,12.0,3.2,0.0,Keen,1,
633612,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0.0,Damage II,10,
633725,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0.0,Charge,10,
633726,26,★★★★★,3000,100,Prototype Fairy,10.0,10.0,10.0,10.0,0.0,Evasion II,10,
636316,15,★,0,1,Command Fairy,8.0,0.0,7.6,2.0,8.4,Assault,1,
637692,3,★,0,1,Armor Fairy,4.4,0.0,0.0,5.2,4.4,Critical I,1,
639277,16,★,0,1,Rescue Fairy,7.6,20.0,16.0,0.0,0.0,Suppression,1,
2498,15,★★★,1150,64,Command Fairy,18.0,0.0,16.8,4.2,18.0,Damage II,1,Locked
19542,6,★★★★,1500,72,Taunt Fairy,12.8,39.2,19.2,5.6,16.8,Damage II,10,Locked
423067,22,★★★★★,550,100,Beach Fairy,32.0,0.0,40.0,0.0,32.0,Damage II,10,Locked
15440,4,★★★★,1900,72,Shield Fairy,14.4,41.6,55.2,0.0,0.0,Critical II,9,Locked
12932,11,★★★,515,100,Parachute Fairy,21.6,0.0,19.2,4.8,24.0,Fervor,10,Locked
20617,9,★★★★,1500,70,Airstrike Fairy,20.0,32.8,26.4,7.2,0.0,Damage II,10,Locked
