Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2022-02-22 14:03:32,10522,Trap of Espionage,8,RF,M14,3,1,,,
2022-02-22 14:05:33,10522,Trap of Espionage,8,HG,Bren Ten,2,0,,,
2022-02-22 14:06:01,10522,Trap of Espionage,8,RF,FF FN49,2,0,,,
2022-02-22 14:06:56,10522,Trap of Espionage,8,HG,P38,2,0,,,
2022-02-22 14:07:25,10522,Trap of Espionage,8,HG,P38,2,0,,,
2022-02-22 14:08:41,10522,Trap of Espionage,8,SMG,Spectre M4,2,0,,,
2022-02-22 14:14:08,10522,Trap of Espionage,8,MG,LWMMG,2,0,,,
2022-02-22 14:16:29,10522,Trap of Espionage,8,SMG,Spectre M4,2,0,,,
2022-02-22 14:21:19,10522,Trap of Espionage,8,HG,FF FNP9,2,0,,,
2022-02-22 14:27:01,10522,Trap of Espionage,8,SMG,M3,2,0,,,
2022-02-22 14:29:49,10522,Trap of Espionage,8,RF,FF FN49,2,0,,,
2022-02-22 14:35:12,10522,Trap of Espionage,8,MG,LWMMG,2,0,,,
2022-02-22 14:38:02,10522,Trap of Espionage,8,RF,SKS,2,0,,,
