ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
5848,1001,★★★,Scarecrow,,100,3255500,-,-,x1,★★★★★,,1091,1091,10,10,5,5,1004,Ample Fuel,1003,Phantom Stance,100,,,Locked
5849,2003,★★,Aegis,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,1353,1353,0,0,1,1,0,,0,,100,,,Locked
40539,3008,★,Prowler,XS,1,0,0,100,x1,★,,73,73,0,0,0,0,0,,0,,50,,,Locked
107920,3003,★,Guard,XS,1,0,0,100,x1,★,,108,108,0,0,0,0,0,,0,,100,,,Locked
152173,3005,★,Striker,XS,1,0,0,100,x1,★,,64,64,0,0,0,0,0,,0,,50,,,Locked
165039,3004,★,Jaeger,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,598,598,0,0,0,5,0,,0,,100,,,Locked
195217,3007,★,Scout,XL,1,0,0,100,x5,★,◆◆◆◆,311,311,0,0,0,0,0,,0,,50,,,Locked
195269,3003,★,Guard,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,Locked
220367,3008,★,Prowler,XS,1,0,0,100,x1,★,,73,73,0,0,0,0,0,,0,,50,,,Locked
220384,3003,★,Guard,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,Locked
237266,1003,★★★,Hunter,,100,3255500,-,-,x1,★★★★★,◆,1147,1147,10,10,5,5,0,,1005,Frugal Mobilization,100,,,Locked
237320,3002,★,Vespid,XS,1,0,0,100,x1,★,,74,74,0,0,0,0,0,,0,,50,,,Locked
328331,3005,★,Striker,XL,1,0,0,100,x5,★,◆◆◆◆,327,327,0,0,0,0,0,,0,,50,,,Locked
423024,2006,★★,Manticore,XL,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1604,1604,0,0,5,5,0,,0,,100,,,Locked
450320,2004,★★,Nemeum,XS,1,0,0,100,x1,★★,,90,90,0,0,1,0,0,,0,,50,,,Locked
450321,2005,★★,Tarantula,XS,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,Locked
462296,2006,★★,Manticore,XL,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1604,1604,0,0,5,5,0,,0,,100,,,Locked
510889,3005,★,Striker,XL,1,0,0,100,x5,★,◆◆◆◆,327,327,0,0,0,0,0,,0,,50,,,Locked
535184,3007,★,Scout,XL,1,0,0,100,x5,★,◆◆◆◆,311,311,0,0,0,0,0,,0,,50,,,Locked
564375,3003,★,Guard,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,Locked
579827,2008,★★,Guard_SWAP,L,100,3255500,-,-,x5,★★★★★,◆◆◆◆,1356,1356,0,0,5,5,0,,0,,100,,,Locked
609266,3006,★,Dinergate,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,341,341,0,0,0,1,0,,0,,100,,,Locked
645479,3008,★,Prowler,XL,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,50,,,Locked
676813,3007,★,Scout,XS,1,0,0,100,x1,★,,61,61,0,0,0,0,0,,0,,50,,,Locked
676816,3002,★,Vespid,XL,1,0,0,100,x5,★,◆◆◆◆,376,376,0,0,0,0,0,,0,,50,,,Locked
748305,2009,★★,Ripper SWAP,L,100,3255500,-,-,x5,★★★★★,◆◆◆◆,1091,1091,0,0,5,5,0,,0,,100,,,Locked
748361,2002,★★,Dragoon,L,1,0,0,100,x5,★★,◆◆◆◆,573,573,0,0,1,0,0,,0,,50,,,Locked
748386,2001,★★,Brute,XL,1,0,0,100,x5,★★,◆◆◆◆,329,329,0,0,1,0,0,,0,,50,,,Locked
748415,1006,★★★,Architect,,100,3255500,-,-,x1,★★★★★,,1263,1263,10,10,5,5,1001,Night Vision,0,,100,,,Locked
776158,3003,★,Guard,XS,1,0,0,100,x1,★,,108,108,0,0,0,0,0,,0,,50,,,Locked
777589,2006,★★,Manticore,L,99,3136050,25850,119450,x1,★★★★★,◆◆◆◆,1582,1582,0,0,1,1,0,,0,,100,,,Locked
828202,3002,★,Vespid,XL,1,0,0,100,x5,★,◆◆◆◆,376,376,0,0,0,0,0,,0,,50,,,Locked
865818,2003,★★,Aegis,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,1353,1353,0,0,1,1,0,,0,,100,,,Locked
907015,2006,★★,Manticore,XL,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1604,1604,0,0,5,5,0,,0,,100,,,Locked
911173,3005,★,Striker,XL,1,0,0,100,x5,★,◆◆◆◆,327,327,0,0,0,0,0,,0,,50,,,Locked
923649,3008,★,Prowler,XL,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,50,,,Locked
965040,3001,★,Ripper,XL,1,0,0,100,x5,★,◆◆◆◆,411,411,0,0,0,0,0,,0,,50,,,Locked
983109,3002,★,Vespid,XL,1,0,0,100,x5,★,◆◆◆◆,376,376,0,0,0,0,0,,0,,50,,,Locked
1007719,3006,★,Dinergate,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,341,341,0,0,0,1,0,,0,,100,,,Locked
1007770,2004,★★,Nemeum,L,100,3255500,-,-,x5,★★★★★,◆◆◆◆,965,965,0,0,5,5,0,,0,,100,,,Locked
1007795,3009,★,Jaguar,XS,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,Locked
1007843,1008,★★★,Alchemist,,100,3255500,-,-,x1,★★★★★,◆,1085,1085,10,10,5,5,0,,0,,100,,,Locked
