ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
50248230,10,HG,★★,PPK,100,3263300,-,-,x5,,285,285,25,59,100,63,15,0,0,20,10,0,PPK Suppressor,,,100,,,Locked
50270150,20037,RF,★★★★,M14 Mod,120,30283300,-,-,x5,Mod3,430,430,111,74,28,44,7,0,0,40,10,10,,M2 Bipod,,100,,,Locked
50274304,47,RF,★★,G43,100,3263300,-,-,x5,,400,400,111,58,28,40,7,0,0,40,10,0,,,,100,,,Locked
50302092,62,AR,★★★★★,Gr G41,100,3263300,-,-,x5,,635,635,50,48,40,77,10,0,0,20,10,0,,,Hi-Performance Tactical Hair Accessory,100,,,Locked
50451715,77,MG,★★★,M2HB,100,3263300,-,-,x5,,1075,1075,102,18,16,100,4,0,10,5,10,0,,,,100,,,Locked
50570779,20216,AR,★★★★★,XM8 Mod,100,3263300,0,0,x5,Mod1,540,540,53,49,46,80,10,0,0,20,10,0,,,,100,,,Locked
50591858,20026,SMG,★★★★★,Gr MP5 Mod,120,30283300,-,-,x5,Mod3,905,905,32,14,71,90,12,0,0,5,10,10,GSG UX Exoskeleton,,LED Weapon Light,100,,,Locked
50682764,70,AR,★★★,FF FNC,100,3263300,-,-,x5,,550,550,51,46,37,73,10,0,0,20,10,0,,,,100,,,Locked
50724143,20056,AR,★★★★★,M4 SOPMOD II Mod,120,30283300,-,-,x5,Mod3,565,565,52,51,46,79,10,0,0,30,10,10,,,,100,,,Locked
50842291,100,HG,★★★★,P7,100,3263300,-,-,x5,,315,315,32,62,83,61,15,0,0,20,1,0,,,,100,,,Locked
50944808,15,HG,★★★,G17,100,3263300,-,-,x5,,315,315,29,58,87,61,15,0,0,20,1,0,,,,100,,,Locked
50946631,96,HG,★★★★★,Grizzly,100,3263300,-,-,x5,,430,430,38,51,66,54,15,0,0,20,10,0,,,MkV Mobility Skeleton,100,,,Locked
50955587,135,SMG,★★★★★,SR-3MP,100,3263300,-,-,x5,,970,970,31,12,67,90,12,0,0,5,10,0,,,,100,,,Locked
50974825,14,HG,★★★,Astra,100,3263300,-,-,x5,,400,400,33,45,68,52,15,0,0,20,10,0,,,,100,,,Locked
51033973,20001,HG,★★★★★,SAA Mod,119,27511799,0,0,x5,Mod3,415,415,37,51,79,50,15,0,0,20,10,10,SAA Long Barrel,,,100,,,Locked
51124261,118,AR,★★★★,9A-91,100,3263300,-,-,x5,,580,580,42,49,50,78,10,0,0,20,10,0,,,9A High-Performance Chip,100,,,Locked
51212148,20007,HG,★★★★★,Stechkin Mod,120,30283300,-,-,x5,Mod3,425,425,32,51,69,66,15,0,0,20,10,10,Stechkin Buttstock,,Tactical Thunderbolt Ahoge,100,,,Locked
51352186,20057,AR,★★★★★,ST AR-15 Mod,120,30283300,-,-,x5,Mod3,540,540,50,55,52,78,10,0,0,20,10,10,Lightweight Rail Kit,,.300BLK High-Velocity Ammo,100,,,Locked
51487208,16,SMG,★★★★★,Thompson,100,3263300,-,-,x5,,1190,1190,31,12,56,82,12,0,0,5,10,0,Thompson's Exoskeleton,,,100,,,Locked
51858489,54,AR,★★★★,M16A1,100,3263300,-,-,x5,,605,605,47,46,44,75,10,0,0,20,10,0,,Special Warfare Mobile Suit,,100,,,Locked
52147510,13,HG,★★★,Type92,100,3263300,-,-,x5,,315,315,31,46,80,61,15,0,0,20,1,0,,,,100,,,Locked
52297069,177,SMG,★★★★,KLIN,100,3263300,-,-,x5,,950,950,25,11,74,95,12,0,0,5,1,0,,,,100,,,Locked
52455830,99,HG,★★★★,Gr Mk23,100,3263300,-,-,x5,,400,400,29,53,66,63,15,0,0,20,10,0,,,,100,,,Locked
52576454,147,RF,★★★,SSG 69,1,0,0,0,x1,,40,40,47,10,5,20,7,0,0,40,1,0,,,,100,,,Locked
52582081,166,HG,★★★★★,CZ75,100,3263300,-,-,x5,,330,330,34,62,74,66,15,0,0,20,10,0,,,,100,,,Locked
52586874,117,RF,★★★★,Gr PSG-1,2,230,0,0,x1,,47,47,48,11,5,28,7,0,0,40,1,0,,,,100,,,Locked
52708435,134,AR,★★★,AR70,1,0,0,0,x1,,55,55,18,6,5,48,10,0,0,20,1,0,,,,100,,,Locked
53029490,19,SMG,★★★,FMG-9,1,0,0,0,x1,,71,71,10,2,12,63,12,0,0,5,1,0,,,,100,,,Locked
53220620,168,HG,★★★★,Spitfire,100,3263300,-,-,x5,,350,350,33,60,71,59,15,0,0,20,10,0,,,,100,,,Locked
53248899,167,HG,★★★,Gr HK45,100,3263300,-,-,x5,,330,330,34,58,80,55,15,0,0,20,1,0,,,,100,,,Locked
