ID,No.,Type,Star,Name,Doll ID,Doll,Damage,Accuracy,Evasion,Move Speed,Rate of Fire,Crit.Rate,Crit.Damage,Armor Pen.,Armor,Shield,Damage Amplify,Damage Reduction,Night View,Rounds,Equip Exp,Equip Level,Adjust Count,Locked
47996,40,T-Exo,★★★★★,IOP T4 Exoskeleton,94520124,Px4 Storm,-8,-,35,-,-,-,-,-,-,-,-,-,-,-,10050,10,8,Locked
177762,68,Ammo Box,★★★★★,IOP Maximum Ammo Box,38724914,PKP,-,-,-3,-,-,-,-,-,-,-,-,-,-,5,10000,10,2,Locked
184047,40,T-Exo,★★★★★,IOP T4 Exoskeleton,110936838,Five-seven,-7,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,5,Locked
184050,40,T-Exo,★★★★★,IOP T4 Exoskeleton,30462255,Welrod MkⅡ,-7,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,4,Locked
269433,16,Night Equip,★★★★★,PEQ-16A,43873255,AUG,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,15,Locked
386370,66,Silencer,★★★★★,AC4 Suppressor,142414207,Desert Eagle,-,-,10,-,-,-,20%,-,-,-,-,-,-,-,10150,10,6,Locked
387840,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,13694004,Negev,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10025,10,21,Locked
388004,68,Ammo Box,★★★★★,IOP Maximum Ammo Box,13694004,Negev,-,-,-3,-,-,-,-,-,-,-,-,-,-,5,10050,10,2,Locked
388009,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,7106541,Mosin-Nagant Mod,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,13,Locked
476903,40,T-Exo,★★★★★,IOP T4 Exoskeleton,1201162,Grizzly,-6,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,16,Locked
481547,4,Optical,★★★★★,VFL 6-24X56,255983,M4A1 Mod,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,4,Locked
566285,39,T-Exo,★★★★,IOP T3 Exoskeleton,-,-,-5,-,15,-,-,-,-,-,-,-,-,-,-,-,0,0,0,Locked
618254,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,0,0,0,Locked
618980,60,Exclusive,★★★★★,.300BLK High-Velocity Ammo,362064,ST AR-15 Mod,25,-1,-,-,-,-,-,-,-,-,-,-,-,-,30000,10,16,Locked
640174,90,Camo Cloak,★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3,-,25%,-,-,-,-,-,-,-,-,10050,10,5,Locked
657961,66,Silencer,★★★★★,AC4 Suppressor,-,-,-,-,10,-,-,-,17%,-,-,-,-,-,-,-,10000,10,2,Locked
696311,8,Holographic,★★★★★,EOT 518,-,-,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10025,10,16,Locked
731840,31,HV Round,★★★★,JHP High-Velocity Ammo,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,4200,9,1,Locked
876446,4,Optical,★★★★★,VFL 6-24X56,156761975,RPK-16,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10050,10,18,Locked
991322,72,HP Round,★★★★★,ILM Hollow-Point Ammo,126839661,P22,15,-,-,-,-,-,-,-7,-,-,-,-,-,-,10000,10,16,Locked
992335,59,Exclusive,★★★★★,National Match-Grade Armor-Piercing Ammo,-,-,-,-,-,-,10,-,-,195,-,-,-,-,-,-,30000,10,16,Locked
1045089,61,Exclusive,★★★★★,Titan Fire-Control Chip,-,-,-3,-,-,-,-6,-,-,-,-,-,-,-,-,3,900,1,1,Locked
1045666,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,104683909,M82A1,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,11,Locked
1045674,66,Silencer,★★★★★,AC4 Suppressor,-,-,-,-,10,-,-,-,17%,-,-,-,-,-,-,-,10025,10,1,Locked
1045706,58,X-Exo,★★★★★,IOP X4 Exoskeleton,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,10000,10,8,Locked
1057238,4,Optical,★★★★★,VFL 6-24X56,115266115,M500 Mod,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,14,Locked
1057285,32,HV Round,★★★★★,APCR High-Velocity Ammo,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,5,Locked
1127142,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,60260,M14 Mod,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10125,10,6,Locked
1221333,72,HP Round,★★★★★,ILM Hollow-Point Ammo,120912956,Gr G36c,15,-,-,-,-,-,-,-10,-,-,-,-,-,-,10025,10,2,Locked
1256744,12,Red Dot,★★★★★,ITI MARS,-,-,-,30,-,-,-1,-,-,-,-,-,-,-,-,-,10050,10,5,Locked
1256809,8,Holographic,★★★★★,EOT 518,-,-,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10000,10,16,Locked
1273009,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,0,0,0,Locked
1332222,39,T-Exo,★★★★,IOP T3 Exoskeleton,-,-,-5,-,14,-,-,-,-,-,-,-,-,-,-,-,0,0,0,Locked
1340436,44,Armor Plate,★★★★★,Type 3 Armor Plate,49789193,Am KSG,-,-,-2,-,-,-,-,-,11,-,-,-,-,-,10050,10,6,Locked
1369850,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,156761975,RPK-16,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,9,Locked
1466649,32,HV Round,★★★★★,APCR High-Velocity Ammo,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,10075,10,4,Locked
1513249,66,Silencer,★★★★★,AC4 Suppressor,-,-,-,-,10,-,-,-,17%,-,-,-,-,-,-,-,7625,9,2,Locked
1553633,80,Slug Shell,★★★★★,SABOT Slug,32182374,S.A.T.8,-,14,-,-,-,-,-,-,-,-,-,-,-,-,4500,7,0,Locked
1606977,90,Camo Cloak,★★★★★,Thermoptic Camouflage Cape,-,-,-,-,-,-3,-,25%,-,-,-,-,-,-,-,-,10000,10,4,Locked
1621544,16,Night Equip,★★★★★,PEQ-16A,90461037,AK-12,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,9,Locked
1648692,4,Optical,★★★★★,VFL 6-24X56,145358191,Kord,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,12,Locked
1680883,44,Armor Plate,★★★★★,Type 3 Armor Plate,115266115,M500 Mod,-,-,-3,-,-,-,-,-,11,-,-,-,-,-,10000,10,1,Locked
1819854,49,Night Equip,★★★★★,16Lab Infrared Designator,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,0,Locked
1827005,50,AP Round,★★★★★,16Lab Sub-Caliber Armor-Piercing Ammo,138118642,Rico,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,0,Locked
1929628,44,Armor Plate,★★★★★,Type 3 Armor Plate,104301379,M870,-,-,-3,-,-,-,-,-,11,-,-,-,-,-,10250,10,3,Locked
2024571,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,0,0,0,Locked
2057507,68,Ammo Box,★★★★★,IOP Maximum Ammo Box,4018,M1918 Mod,-,-,-3,-,-,-,-,-,-,-,-,-,-,5,10025,10,1,Locked
2119035,68,Ammo Box,★★★★★,IOP Maximum Ammo Box,126129169,Lewis,-,-,-3,-,-,-,-,-,-,-,-,-,-,5,10000,10,2,Locked
2120730,8,Holographic,★★★★★,EOT 518,-,-,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10150,10,16,Locked
2181295,72,HP Round,★★★★★,ILM Hollow-Point Ammo,107813173,Python,15,-,-,-,-,-,-,-7,-,-,-,-,-,-,10025,10,7,Locked
2355907,16,Night Equip,★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,12,Locked
2449619,40,T-Exo,★★★★★,IOP T4 Exoskeleton,34293819,Stechkin Mod,-8,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,4,Locked
2479998,32,HV Round,★★★★★,APCR High-Velocity Ammo,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,8,Locked
2511131,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,0,0,0,Locked
2570751,71,HP Round,★★★★,ILM Hollow-Point Ammo,94520124,Px4 Storm,4,-,-,-,-,-,-,-5,-,-,-,-,-,-,0,0,0,Locked
2573918,71,HP Round,★★★★,ILM Hollow-Point Ammo,51210704,M1895 Mod,4,-,-,-,-,-,-,-5,-,-,-,-,-,-,0,0,0,Locked
2676601,4,Optical,★★★★★,VFL 6-24X56,38724914,PKP,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10025,10,8,Locked
2757885,8,Holographic,★★★★★,EOT 518,-,-,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10000,10,6,Locked
2759081,4,Optical,★★★★★,VFL 6-24X56,89699411,HMG21,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10025,10,10,Locked
2821137,12,Red Dot,★★★★★,ITI MARS,-,-,-,25,-,-,-3,-,-,-,-,-,-,-,-,-,10000,10,0,Locked
2826314,4,Optical,★★★★★,VFL 6-24X56,32182374,S.A.T.8,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,6,Locked
2831882,8,Holographic,★★★★★,EOT 518,-,-,8,14,-,-,-4,-,-,-,-,-,-,-,-,-,10000,10,16,Locked
2834938,58,X-Exo,★★★★★,IOP X4 Exoskeleton,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,10050,10,4,Locked
2845248,16,Night Equip,★★★★★,PEQ-16A,137870503,Angelica,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,12,Locked
2845817,4,Optical,★★★★★,VFL 6-24X56,138118642,Rico,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10050,10,15,Locked
2854639,16,Night Equip,★★★★★,PEQ-16A,19315248,Gr G11 Mod,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,0,0,16,Locked
2881773,58,X-Exo,★★★★★,IOP X4 Exoskeleton,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,10050,10,3,Locked
2881778,31,HV Round,★★★★,JHP High-Velocity Ammo,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,4725,9,4,Locked
