ID,No,Rarity,Dev. Rate,Level,Name,Damage,Accuracy,Evasion,Armor,Crit.Damage,Talent,Skill,Locked
208,15,★★★★★,3000,100,Command Fairy,36.0,0.0,32.0,8.0,36.0,Fervor,3,Locked
220,17,★★★★★,3000,100,Illumination Fairy,0.0,90.0,32.0,8.0,38.0,Damage I,10,Locked
13401,2,★★★★★,3000,100,Fury Fairy,15.0,0.0,40.0,10.0,40.0,Critical II,10,Locked
15608,6,★★★★★,3000,100,Taunt Fairy,18.0,58.0,28.0,8.0,25.0,Damage II,10,Locked
15624,8,★★★★★,3000,100,Artillery Fairy,55.0,0.0,56.0,6.0,0.0,Fervor,1,Locked
16864,4,★★★★★,3000,100,Shield Fairy,20.0,60.0,80.0,0.0,0.0,Fervor,10,Locked
29418,11,★,0,100,Parachute Fairy,14.4,0.0,12.8,3.2,16.0,Damage II,10,Locked
38165,1,★★★★★,3000,100,Warrior Fairy,25.0,80.0,40.0,10.0,0.0,Fervor,10,Locked
38478,17,★★★★★,3000,100,Illumination Fairy,0.0,90.0,32.0,8.0,38.0,Fervor,10,Locked
46557,6,★★★★★,3000,100,Taunt Fairy,18.0,58.0,28.0,8.0,25.0,Fervor,10,Locked
107688,1007,★★★★★,550,100,Anna Graem,25.0,30.0,65.0,8.0,0.0,Fervor,10,Locked
179945,19,★★★,200,1,Cooking Fairy,1.2,2.4,9.2,2.4,1.2,Chef,1,Locked
185118,11,★,0,100,Parachute Fairy,14.4,0.0,12.8,3.2,16.0,Fervor,10,Locked
202878,13,★,0,1,Rocket Fairy,0.0,10.0,0.0,5.2,8.0,Accuracy I,1,Locked
211452,23,★★,355,100,Combo Fairy,15.0,42.5,0.0,0.0,7.5,Damage II,10,Locked
228259,25,★★★★★,3000,100,Twin Fairies,18.0,60.0,48.0,12.0,0.0,Fervor,10,Locked
238337,20,★★★,200,1,Fireworks Fairy,3.6,8.4,3.6,0.8,0.0,Splendor,1,Locked
261440,1005,★,0,14,Sehra & Nina,3.2,9.2,11.6,0.0,4.8,Damage I,1,Locked
299803,1004,★★★,250,13,Suee,0.0,0.0,16.0,4.4,6.8,Suppression,10,Locked
303585,1006,★★★,200,1,Preiya & Camilia,4.4,10.0,2.0,2.0,4.4,Critical II,1,Locked
347151,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,3.2,New Year,1,Locked
347152,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,3.2,Sturdy,1,Locked
347153,21,★,0,1,Zodiac Fairy,3.2,0.0,2.8,2.8,3.2,Armor I,1,Locked
348743,12,★,0,1,Landmine Fairy,5.6,10.0,19.6,0.0,0.0,Evasion I,10,Locked
350729,14,★,0,1,Construction Fairy,3.6,12.0,9.6,2.4,4.8,Accuracy I,1,Locked
370385,11,★,0,48,Parachute Fairy,10.0,0.0,8.8,2.4,11.2,Damage I,10,Locked
370387,13,★,0,1,Rocket Fairy,0.0,10.0,0.0,5.2,8.0,Damage I,1,Locked
370388,23,★,0,1,Combo Fairy,6.4,18.8,0.0,0.0,3.2,Accuracy I,1,
374087,12,★,0,1,Landmine Fairy,5.6,10.0,19.6,0.0,0.0,Charge,1,Locked
426089,2,★,0,1,Fury Fairy,2.8,0.0,8.0,2.0,8.0,Evasion I,1,
427652,22,★,0,1,Beach Fairy,3.2,0.0,4.0,0.0,3.2,Cool,3,Locked
428627,3,★,0,1,Armor Fairy,4.4,0.0,0.0,5.2,4.4,Evasion I,1,
428628,16,★,0,1,Rescue Fairy,7.6,20.0,16.0,0.0,0.0,Damage I,1,
428862,2,★,0,1,Fury Fairy,2.8,0.0,8.0,2.0,8.0,Critical II,1,
429268,4,★,0,1,Shield Fairy,4.0,12.0,16.0,0.0,0.0,Evasion I,1,
429841,9,★,0,1,Airstrike Fairy,4.8,8.0,6.4,1.6,0.0,Armor I,1,
429994,4,★,0,1,Shield Fairy,4.0,12.0,16.0,0.0,0.0,Evasion I,1,
430669,4,★,0,1,Shield Fairy,4.0,12.0,16.0,0.0,0.0,Aim,1,
431135,6,★,0,1,Taunt Fairy,3.2,10.0,4.8,1.6,4.4,Evasion I,1,
433674,17,★,0,1,Illumination Fairy,0.0,20.0,7.2,1.6,8.4,Evasion I,1,
433680,3,★,0,1,Armor Fairy,4.4,0.0,0.0,5.2,4.4,Evasion I,1,
436475,17,★,0,1,Illumination Fairy,0.0,20.0,7.2,1.6,8.4,Aim,1,
437615,6,★,0,1,Taunt Fairy,3.2,10.0,4.8,1.6,4.4,Evasion I,1,
441787,7,★,0,1,Sniper Fairy,0.0,17.6,5.6,3.2,7.2,Critical II,1,
