Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2022-02-21 01:27:17,10521,Tide of Blood,3,AR,FF F2000,2,0,,,
2022-02-21 01:27:35,10521,Tide of Blood,3,HG,FF FNP9,2,0,,,
2022-02-21 01:28:54,10521,Tide of Blood,3,HG,P38,2,0,,,
2022-02-21 01:44:20,10521,Tide of Blood,3,RF,SKS,2,0,,,
2022-02-21 01:54:12,10521,Tide of Blood,4,AR,Galil,2,0,,,
2022-02-21 02:04:50,10521,Tide of Blood,8,MG,AAT-52,2,0,,,
2022-02-21 02:05:14,10521,Tide of Blood,8,HG,M9,3,1,,,
2022-02-21 02:05:35,10521,Tide of Blood,8,AR,FF F2000,2,0,,,
2022-02-21 02:05:57,10521,Tide of Blood,8,SMG,M38,2,0,,,
2022-02-21 02:25:57,10521,Tide of Blood,8,HG,M1911,2,0,,,
