Area ID,Area Name,Battle Type,Doll ID,Type,Name,Level,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Predicted Damage (1-Fairy),Predicted Damage (2-Fairy),Predicted Damage (3-Fairy),Predicted Damage (4-Fairy),Rank
714,Elementary4,Day,20055,AR,M4A1 Mod,119,200,1,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),8492,743,891,1040,1188,1
714,Elementary4,Day,183,HG,Contender,100,100,0,8,0,Auxiliary Sights (5-Star),AP Round (5-Star),X-Exo (5-Star),4795,659,791,923,1054,2
714,Elementary4,Day,20122,AR,Gr G11 Mod,116,100,0,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),7474,653,784,915,1046,3
714,Elementary4,Day,20065,AR,416 Mod,117,100,0,10,10,Exclusive (5-Star),HV Round (5-Star),Exclusive (5-Star),7162,626,752,877,1002,4
714,Elementary4,Day,20097,HG,M950A Mod,115,100,0,10,10,Exclusive (5-Star),HP Round (5-Star),X-Exo (5-Star),4377,601,722,842,962,5
714,Elementary4,Day,213,SMG,C-MS,100,100,0,10,0,Chip (5-Star),AP Round (5-Star),Red Dot (5-Star),7951,596,715,834,954,6
714,Elementary4,Day,330,AR,FX-05,100,100,0,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5598,587,705,822,940,7
714,Elementary4,Day,20221,HG,GSh-18 Mod,117,100,0,6,6,Auxiliary Sights (5-Star),Exclusive (5-Star),X-Exo (5-Star),4245,583,700,817,933,8
714,Elementary4,Day,206,AR,AK-12,100,150,1,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),6446,564,676,789,902,9
714,Elementary4,Day,20057,AR,ST AR-15 Mod,120,200,1,10,10,Optical (5-Star),Auxiliary Sights (5-Star),Exclusive (5-Star),6406,560,672,784,896,10
714,Elementary4,Day,205,AR,AN-94,100,150,1,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),6371,557,668,780,891,11
714,Elementary4,Day,20007,HG,Stechkin Mod,112,100,0,10,4,Auxiliary Sights (5-Star),HP Round (5-Star),X-Exo (5-Star),3971,546,655,764,873,12
714,Elementary4,Day,20001,HG,SAA Mod,115,100,0,10,10,Auxiliary Sights (5-Star),HP Round (5-Star),T-Exo (5-Star),3932,540,648,756,865,13
714,Elementary4,Day,1027,AR,Angelica,100,100,0,8,0,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),6146,537,645,752,860,14
714,Elementary4,Day,20060,AR,AS Val Mod,115,100,0,10,10,Holographic (5-Star),Exclusive (5-Star),Chip (5-Star),6136,536,644,751,859,15
714,Elementary4,Day,242,HG,P22,100,100,0,10,0,Auxiliary Sights (5-Star),HP Round (5-Star),X-Exo (5-Star),3902,536,643,751,858,16
714,Elementary4,Day,20143,SMG,RO635 Mod,115,98,0,10,10,Exclusive (5-Star),HP Round (5-Star),Red Dot (5-Star),7123,534,641,747,854,17
714,Elementary4,Day,233,HG,Px4 Storm,100,100,0,10,0,Exclusive (5-Star),HP Round (5-Star),X-Exo (5-Star),3872,532,638,745,851,18
714,Elementary4,Day,96,HG,Grizzly,100,100,0,10,0,Auxiliary Sights (5-Star),HP Round (5-Star),Exclusive (5-Star),3864,531,637,743,850,19
714,Elementary4,Day,20026,SMG,Gr MP5 Mod,115,100,0,10,10,Exclusive (5-Star),HP Round (5-Star),Exclusive (5-Star),7069,530,636,742,848,20
714,Elementary4,Day,294,HG,Webley,100,100,0,10,0,Silencer (5-Star),HP Round (5-Star),T-Exo (5-Star),3859,530,636,742,848,21
714,Elementary4,Day,250,HG,HS2000,100,100,0,10,0,Auxiliary Sights (5-Star),HP Round (5-Star),X-Exo (5-Star),3839,527,633,739,844,22
714,Elementary4,Day,285,HG,C-93,100,100,0,10,0,Auxiliary Sights (5-Star),HP Round (5-Star),X-Exo (5-Star),3805,523,627,732,837,23
714,Elementary4,Day,274,AR,ACR,100,100,0,8,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5968,522,626,731,835,24
714,Elementary4,Day,194,AR,K2,100,100,0,8,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5843,511,613,715,818,25
714,Elementary4,Day,172,AR,Am RFB,100,100,0,8,0,Exclusive (5-Star),HV Round (5-Star),Chip (5-Star),5818,509,610,712,814,26
714,Elementary4,Day,236,AR,K11,100,100,0,4,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5763,504,605,705,806,27
714,Elementary4,Day,215,AR,MDR,100,100,0,4,0,Red Dot (5-Star),HV Round (5-Star),Chip (5-Star),5744,502,603,703,804,28
714,Elementary4,Day,20056,AR,M4 SOPMOD II Mod,111,100,0,7,7,Optical (5-Star),Auxiliary Sights (5-Star),HV Round (5-Star),5735,501,602,702,802,29
714,Elementary4,Day,54,AR,M16A1,100,100,0,4,0,HV Round (5-Star),Armor Plate (5-Star),Chip (5-Star),5664,495,594,693,792,30
714,Elementary4,Day,303,HG,HP-35,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3578,491,590,688,787,31
714,Elementary4,Day,62,AR,Gr G41,100,100,0,5,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5611,490,589,687,785,32
714,Elementary4,Day,272,HG,Desert Eagle,100,100,0,10,0,Auxiliary Sights (5-Star),Signal Flare (5-Star),X-Exo (5-Star),3562,489,587,685,783,33
714,Elementary4,Day,4,HG,Python,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3550,488,585,683,781,34
714,Elementary4,Day,118,AR,9A-91,100,100,0,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5553,485,583,680,777,35
714,Elementary4,Day,127,SMG,Type79,100,100,0,6,0,Chip (5-Star),Exclusive (5-Star),Red Dot (5-Star),6391,479,575,671,766,36
714,Elementary4,Day,142,HG,Five-seven,100,100,0,10,0,Auxiliary Sights (5-Star),Signal Flare (5-Star),X-Exo (5-Star),3483,478,574,670,766,37
714,Elementary4,Day,20005,HG,M1895 Mod,115,95,0,7,8,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3437,472,567,661,756,38
714,Elementary4,Day,16,SMG,Thompson,100,100,0,10,0,Exclusive (5-Star),Signal Flare (5-Star),Silencer (5-Star),6260,469,563,657,751,39
714,Elementary4,Day,114,HG,Welrod MkⅡ,100,100,0,4,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3411,469,562,656,750,40
714,Elementary4,Day,10,HG,PPK,100,100,0,5,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),2838,468,561,655,749,41
714,Elementary4,Day,13,HG,Type92,100,100,0,1,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),2803,462,554,647,739,42
714,Elementary4,Day,1009,HG,El Clear,100,100,0,10,0,Silencer (5-Star),Signal Flare (5-Star),T-Exo (5-Star),3357,461,553,646,738,43
714,Elementary4,Day,27,SMG,Skorpion,100,100,0,3,0,Chip (5-Star),-,Holographic (5-Star),4962,446,535,625,714,44
714,Elementary4,Day,245,SMG,P90,100,100,0,8,0,T-Exo (5-Star),-,Holographic (5-Star),5951,446,535,624,714,45
714,Elementary4,Day,311,SMG,Lusa,100,100,0,10,0,T-Exo (5-Star),-,Holographic (5-Star),5871,440,528,616,704,46
714,Elementary4,Day,1028,SMG,Agent Vector,100,100,0,8,0,T-Exo (5-Star),Exclusive (5-Star),Holographic (5-Star),5851,438,526,614,702,47
