ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
425,1001,★★★,Scarecrow,,90,1980876,13576,99424,x1,★★★★★,,1036,1036,10,1,5,5,0,,0,,100,,,Locked
72896,3005,★,Striker,XL,50,165150,750,14650,x5,★,◆◆◆◆,445,445,0,0,0,0,0,,0,,53,,,Locked
120411,3004,★,Jaeger,L,90,1968000,700,112300,x5,★★★★★,◆◆◆◆,562,562,0,0,0,5,0,,0,,90,,,Locked
205297,2006,★★,Manticore,L,90,1976570,9270,103730,x1,★★★★★,◆◆◆◆,1527,1527,0,0,5,5,0,,0,,100,,,Locked
250418,1003,★★★,Hunter,,90,1968000,700,112300,x1,★★★★★,,1090,1090,10,10,5,5,3001,Weaken,3005,Strength in Numbers,90,,,Locked
413971,2006,★★,Manticore,L,90,1977470,10170,102830,x1,★★★★★,◆◆◆◆,1527,1527,0,0,5,5,0,,0,,100,,,Locked
450452,3009,★,Jaguar,L,90,1968000,700,112300,x5,★★★★★,◆◆◆◆,485,485,0,0,0,5,0,,0,,90,,,Locked
501872,1005,★★★,Destroyer,,100,3255500,-,-,x1,★★★★★,,1263,1263,10,10,5,5,0,,0,,100,,,Locked
544402,3009,★,Jaguar,L,1,0,0,100,x5,★,◆◆◆◆,236,236,0,0,0,0,0,,0,,50,,,Locked
553649,3009,★,Jaguar,L,1,0,0,100,x5,★,◆◆◆◆,236,236,0,0,0,0,0,,0,,50,,,Locked
610818,2005,★★,Tarantula,XL,50,165150,750,14650,x5,★★★,◆◆◆◆,244,244,0,0,5,0,0,,0,,53,,,Locked
723120,3009,★,Jaguar,L,1,0,0,100,x5,★,◆◆◆◆,236,236,0,0,0,0,0,,0,,50,,,Locked
723123,2006,★★,Manticore,L,1,0,0,100,x1,★★,◆◆◆◆,917,917,0,0,2,0,0,,0,,50,,,Locked
739618,2006,★★,Manticore,L,1,0,0,100,x1,★★,◆◆◆◆,917,917,0,0,3,0,0,,0,,50,,,Locked
755797,2004,★★,Nemeum,XL,91,2138450,58150,58250,x5,★★★★★,◆◆◆◆,934,934,0,0,5,5,0,,0,,100,,,Locked
759541,2009,★★,Ripper SWAP,L,1,0,0,100,x1,★★,,100,100,0,0,1,0,0,,0,,50,,,
801696,3004,★,Jaeger,XL,90,1968150,850,112150,x5,★★★★★,◆◆◆◆,569,569,0,0,0,5,0,,0,,90,,,Locked
815502,2004,★★,Nemeum,L,1,0,0,100,x5,★★,◆◆◆◆,459,459,0,0,3,0,0,,0,,50,,,Locked
831957,1008,★★★,Alchemist,,90,1968000,700,112300,x1,★★★★★,◆,1025,1025,10,10,5,5,1003,Phantom Stance,1004,Ample Fuel,90,,,Locked
872956,2005,★★,Tarantula,S,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,
872965,2005,★★,Tarantula,M,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,
884652,2010,★★,Vespid_SWAP,XL,90,1968000,700,112300,x5,★★★★★,◆◆◆◆,886,886,0,0,5,5,0,,0,,90,,,Locked
892380,2011,★★,Prowler_SWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,458,458,0,0,3,0,0,,0,,50,,,Locked
955924,2009,★★,Ripper SWAP,L,90,1968000,700,112300,x5,★★★★★,◆◆◆◆,1037,1037,0,0,5,5,0,,0,,100,,,Locked
986266,2005,★★,Tarantula,M,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,
992967,2009,★★,Ripper SWAP,L,1,0,0,100,x1,★★,,100,100,0,0,1,0,0,,0,,50,,,
995211,2004,★★,Nemeum,L,90,1968150,850,112150,x5,★★★★★,◆◆◆◆,918,918,0,0,5,5,0,,0,,90,,,Locked
1178591,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
1178598,2012,★★,Dragoon_SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,592,592,0,0,3,0,0,,0,,50,,,Locked
1179670,2005,★★,Tarantula,XS,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,
1190927,3004,★,Jaeger,L,1,0,0,100,x5,★,◆◆◆◆,267,267,0,0,0,0,0,,0,,50,,,Locked
1197641,2004,★★,Nemeum,M,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,
1197642,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
1214040,2008,★★,Guard_SWAP,L,1,0,0,100,x4,★★,◆◆◆,507,507,0,0,3,0,0,,0,,50,,,Locked
1214045,2009,★★,Ripper SWAP,M,1,0,0,100,x1,★★,,99,99,0,0,1,0,0,,0,,50,,,
1223640,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
1223642,2009,★★,Ripper SWAP,M,1,0,0,100,x1,★★,,99,99,0,0,1,0,0,,0,,50,,,
1224480,2005,★★,Tarantula,M,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,
1224489,1010,★★★,Gager,,1,0,0,100,x1,★★★,◆,568,568,1,1,1,0,0,,0,,50,,,Locked
1224523,2005,★★,Tarantula,S,1,0,0,100,x1,★★,,33,33,0,0,1,0,0,,0,,50,,,
1224524,3009,★,Jaguar,L,1,0,0,100,x5,★,◆◆◆◆,236,236,0,0,0,0,0,,0,,50,,,Locked
1230123,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
1232374,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
1242480,3010,★,Goliath Factory,L,90,1968000,700,112300,x1,★★★★★,◆◆◆◆,1406,1406,0,0,0,5,0,,0,,90,,,Locked
1247828,3010,★,Goliath Factory,M,1,0,0,100,x1,★,,629,629,0,0,0,0,0,,0,,50,,,
1247881,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
1258132,2009,★★,Ripper SWAP,S,1,0,0,100,x1,★★,,98,98,0,0,1,0,0,,0,,50,,,
1271062,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
