ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
112302829,20002,HG,★★★★,M1911 Mod,110,5263320,0,0,x5,Mod2,370,370,30,54,80,58,15,0,0,20,4,4,,,,100,,,Locked
112302830,20005,HG,★★★★,M1895 Mod,115,10083300,-,-,x5,Mod2,355,355,37,51,104,45,15,0,0,20,7,8,AC4 Suppressor,,IOP T4 Exoskeleton,95,,,Locked
112304505,20037,RF,★★★★,M14 Mod,112,6453496,70196,829804,x5,Mod2,425,425,116,77,30,44,7,0,0,40,8,8,,,,100,,,Locked
112305532,10,HG,★★,PPK,100,3263300,-,-,x5,,285,285,27,62,105,63,15,0,0,20,5,0,,,,100,,,Locked
112305615,29,SMG,★★★,STEN MkⅡ,93,2343075,0,0,x5,,895,895,27,16,75,76,12,0,0,5,4,0,,,,100,,,Locked
112307671,94,SMG,★★,Type64,48,196383,0,0,x3,,390,390,20,8,38,78,12,0,0,5,1,0,,,,100,,,Locked
112310667,27,SMG,★★★,Skorpion,100,3263300,-,-,x5,,795,795,26,14,88,95,12,0,0,5,3,0,,,,100,,,Locked
112312323,105,AR,★★★,OTs-12,91,2173918,0,0,x5,,500,500,42,53,53,70,10,0,0,20,3,0,EOT 518,APCR High-Velocity Ammo,#2 Processor,100,,,Locked
112325084,70,AR,★★★,FF FNC,100,3263300,-,-,x5,,550,550,54,49,39,73,10,0,0,20,4,0,,APCR High-Velocity Ammo,#2 Processor,100,,,Locked
112349872,16,SMG,★★★★★,Thompson,100,3263300,-,-,x5,,1190,1190,33,13,59,82,12,0,0,5,10,0,Thompson's Exoskeleton,,,100,,,Locked
112362821,247,RF,★★★★,K31,100,3263300,-,-,x5,,390,390,133,82,39,39,7,0,0,40,3,0,,,,100,,,Locked
112377893,77,MG,★★★,M2HB,90,2035725,0,0,x5,,1020,1020,101,18,16,97,4,0,10,5,4,0,,,,100,,,Locked
112406724,22,SMG,★★★,PPS-43,90,1975853,0,0,x5,,840,840,33,13,62,72,12,0,0,5,3,0,,,,100,,,Locked
112432058,20055,AR,★★★★★,M4A1 Mod,119,24754528,471228,5528772,x5,Mod3,565,549,58,58,58,80,10,0,0,20,10,10,VFL 6-24X56,APCR High-Velocity Ammo,Inherited Case,200,Oathed,2020-06-02 22:56,Locked
112549959,20056,AR,★★★★★,M4 SOPMOD II Mod,111,5860281,116981,523019,x5,Mod2,560,560,54,53,48,78,10,0,0,30,7,7,EOT 518,,APCR High-Velocity Ammo,100,,,Locked
112552137,62,AR,★★★★★,Gr G41,100,3263300,-,-,x5,,635,635,53,51,42,77,10,0,0,20,5,0,EOT 518,APCR High-Velocity Ammo,#2 Processor,100,,,Locked
112556304,20,SMG,★★★★★,Vector,100,3263300,-,-,x5,,925,925,32,12,75,101,12,0,0,5,10,0,#2 Processor,ILM Hollow-Point Ammo,EOT 518,100,,,Locked
112620920,46,RF,★★★★★,Kar98k,100,3263300,-,-,x5,,420,420,142,82,44,34,7,0,0,40,8,0,Mk211 High-Explosive Armor-Piercing Ammo,,,100,,,Locked
112652450,18,SMG,★★★,Ingram,100,3263300,-,-,x5,,880,880,30,12,72,91,12,0,0,5,5,0,,,,100,,,Locked
112695133,20101,SMG,★★★★★,UMP9 Mod,110,5684370,421070,58930,x5,Mod2,895,895,31,18,87,87,12,0,0,5,5,5,,,,100,,,Locked
112699170,20057,AR,★★★★★,ST AR-15 Mod,120,30283300,-,-,x5,Mod3,540,340,58,64,60,78,10,0,0,20,10,10,VFL 6-24X56,PEQ-16A,.300BLK High-Velocity Ammo,200,Oathed,2020-05-14 04:06,Locked
112757102,20081,MG,★★★★,LWMMG Mod,113,7307707,0,0,x5,Mod2,880,880,108,29,26,92,4,0,10,5,10,7,M1022 Sniper Rounds,VFL 6-24X56,,100,,,Locked
112772804,20026,SMG,★★★★★,Gr MP5 Mod,115,10415580,332280,1867720,x5,Mod3,900,900,33,15,75,90,12,0,0,5,10,10,GSG UX Exoskeleton,,LED Weapon Light,100,,,Locked
112836336,118,AR,★★★★,9A-91,100,3263300,-,-,x5,,580,580,45,52,53,78,10,0,0,20,10,0,,,,100,,,Locked
112901448,20075,MG,★★★★★,M1918 Mod,115,10083300,-,-,x5,Mod2,800,800,105,36,36,115,4,0,8,5,1,2,,,,100,,,Locked
112910971,54,AR,★★★★,M16A1,100,3263300,-,-,x5,,605,605,50,49,47,75,10,0,0,20,4,0,,,,100,,,Locked
113007085,99,HG,★★★★,Gr Mk23,100,3263300,-,-,x5,,400,400,31,56,70,63,15,0,0,20,8,0,AC4 Suppressor,Signal Flare,IOP T4 Exoskeleton,100,,,Locked
113060989,162,SG,★★★★,SPAS-12,100,3263300,-,-,x5,,1375,1375,35,12,10,32,6,21,4,40,2,0,,,,100,,,Locked
113073601,20154,SG,★★★★,M500 Mod,117,16411380,1128080,2871920,x5,Mod3,1350,1350,35,13,12,29,6,22,4,40,1,10,Type 3 Armor Plate,Shotgun Flash Shells,MGP Upgrade Kit,100,,,Locked
