ID,No.,Type,Star,Name,Doll ID,Doll,Damage,Accuracy,Evasion,Move Speed,Rate of Fire,Crit.Rate,Crit.Damage,Armor Pen.,Armor,Shield,Damage Amplify,Damage Reduction,Night View,Rounds,Equip Exp,Equip Level,Adjust Count,Locked
21731433,12,Red Dot,★★★★★,ITI MARS,142621197,S.A.T.8,-,30,-,-,-1,-,-,-,-,-,-,-,-,-,10000,10,5,Locked
21786390,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,2101,7,0,Locked
21933564,4,Optical,★★★★★,VFL 6-24X56,140505319,KSVK Mod,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,10,Locked
22021480,16,Night Equip,★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,1,0,0,Locked
22021481,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,119298345,R93,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,0,Locked
22107134,4,Optical,★★★★★,VFL 6-24X56,115941844,Mosin-Nagant Mod,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,15,Locked
22141765,117,Exclusive,★★★★★,Glorylight,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%,-,1,0,0,Locked
22143989,4,Optical,★★★★★,VFL 6-24X56,143166094,Kord,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,9,Locked
22252651,4,Optical,★★★★★,VFL 6-24X56,112757102,LWMMG Mod,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,16,Locked
22310041,57,X-Exo,★★★★,IOP X3 Exoskeleton,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,2800,8,1,Locked
22335108,44,Armor Plate,★★★★★,Type 3 Armor Plate,113073601,M500 Mod,-,-,-2,-,-,-,-,-,11,-,-,-,-,-,10000,10,6,Locked
22478713,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,157,-,-,-,-,-,-,4050,7,13,Locked
22483376,8,Holographic,★★★★★,EOT 518,112552137,Gr G41,8,13,-,-,-5,-,-,-,-,-,-,-,-,-,8350,9,3,Locked
22498696,8,Holographic,★★★★★,EOT 518,128671275,AN-94,8,13,-,-,-4,-,-,-,-,-,-,-,-,-,8550,9,12,Locked
22499176,4,Optical,★★★★★,VFL 6-24X56,118954464,Carcano M91/38,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,9,Locked
22500171,8,Holographic,★★★★★,EOT 518,112556304,Vector,8,13,-,-,-4,-,-,-,-,-,-,-,-,-,7600,9,20,Locked
22543037,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,116760114,M200,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,14,Locked
22543042,32,HV Round,★★★★★,APCR High-Velocity Ammo,112432058,M4A1 Mod,20,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,10,6,Locked
22548090,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,159,-,-,-,-,-,-,4025,7,11,Locked
22551457,72,HP Round,★★★★★,ILM Hollow-Point Ammo,130803173,Python,14,-,-,-,-,-,-,-7,-,-,-,-,-,-,5675,8,11,Locked
22559282,4,Optical,★★★★★,VFL 6-24X56,132793047,NTW-20 Mod,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,5,Locked
22836962,40,T-Exo,★★★★★,IOP T4 Exoskeleton,123977572,C-MS,-6,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,16,Locked
22842055,58,X-Exo,★★★★★,IOP X4 Exoskeleton,130803173,Python,-,-,15,-,-,-,-,-,-,-,-,-,-,-,4600,7,4,Locked
22995947,4,Optical,★★★★★,VFL 6-24X56,138255184,Rico,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,7,Locked
23010201,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,-,-,-,-,-,-,-,-,-,156,-,-,-,-,-,-,4050,7,2,Locked
23022260,8,Holographic,★★★★★,EOT 518,124139162,SR-3MP,8,14,-,-,-5,-,-,-,-,-,-,-,-,-,10000,10,16,Locked
23088507,68,Ammo Box,★★★★★,IOP Maximum Ammo Box,143166094,Kord,-,-,-3,-,-,-,-,-,-,-,-,-,-,5,10000,10,2,Locked
23104136,90,Camo Cloak,★★★★★,Thermoptic Camouflage Cape,140505319,KSVK Mod,-,-,-,-3,-,25%,-,-,-,-,-,-,-,-,10000,10,2,Locked
23319908,72,HP Round,★★★★★,ILM Hollow-Point Ammo,175225186,Vector,14,-,-,-,-,-,-,-7,-,-,-,-,-,-,5725,8,5,Locked
23333316,20,AP Round,★★★★★,Mk211 High-Explosive Armor-Piercing Ammo,123977572,C-MS,-,-,-,-,-,-,-,180,-,-,-,-,-,-,10000,10,9,Locked
23365804,44,Armor Plate,★★★★★,Type 3 Armor Plate,167022509,LTLX7000,-,-,-2,-,-,-,-,-,11,-,-,-,-,-,10000,10,3,Locked
23400793,4,Optical,★★★★★,VFL 6-24X56,119298345,R93,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,16,Locked
23443665,90,Camo Cloak,★★★★★,Thermoptic Camouflage Cape,136251345,Type88 Mod,-,-,-,-3,-,25%,-,-,-,-,-,-,-,-,10000,10,2,Locked
23448699,8,Holographic,★★★★★,EOT 518,175225186,Vector,8,13,-,-,-6,-,-,-,-,-,-,-,-,-,8300,9,5,Locked
23450463,44,Armor Plate,★★★★★,Type 3 Armor Plate,131819391,M870,-,-,-2,-,-,-,-,-,11,-,-,-,-,-,10000,10,6,Locked
23667931,60,Exclusive,★★★★★,.300BLK High-Velocity Ammo,112699170,ST AR-15 Mod,25,-1,-,-,-,-,-,-,-,-,-,-,-,-,30000,10,16,Locked
23733405,100,Exclusive,★★★★★,Lightweight Rail Kit,-,-,-,10,-,-,-,20%,-,-,-,-,-,-,-,-,30000,10,10,Locked
23752740,16,Night Equip,★★★★★,PEQ-16A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97%,-,0,0,4,Locked
23766533,40,T-Exo,★★★★★,IOP T4 Exoskeleton,115186879,El Clear,-6,-,35,-,-,-,-,-,-,-,-,-,-,-,10000,10,26,Locked
23767284,4,Optical,★★★★★,VFL 6-24X56,116760114,M200,-,-,-,-,-,-,48%,-,-,-,-,-,-,-,10000,10,12,Locked
23872836,72,HP Round,★★★★★,ILM Hollow-Point Ammo,112556304,Vector,14,-,-,-,-,-,-,-10,-,-,-,-,-,-,5675,8,2,Locked
