Item ID,Item Name,Item Number
-1,reg_time,2020-04-10 15:02:06
item-10,Dummy Core,701
item-31,Basic Training Data,2332
item-32,Intermediate Training Data,4213
item-33,Advanced Training Data,3018
-1,kalina_level,25
-1,kalina_favor,42737
item-1,T-Doll Contract,642
item-2,Equipment Contract,2000
item-3,Quick Production Contract,525
item-4,Quick Repair Contract,7541
item-5,Daily Pause Permit,1
item-8,Quick Training Contract,36
item-9,Enhancement Capsule,396
item-11,Key Card,0
item-12,Points,0
item-14,Original Sample,3310
item-15,Pure Sample,655
item-16,Quick Analysis Contract,291
item-17,Data Patch,93
item-41,Token,777
item-42,Exchange Ticket,0
item-43,Black Card,6
item-44,Calibration Ticket,1403
item-45,Memory Fragment,4539
item-46,Special Combat Report,316
item-47,Theater Material,0
item-50,Universal Parts,6871
item-51,New Type Fire-Control Component,14
item-100,Elite Griffin Combat Medal,3
item-101,Combat Ranking Medal,103
item-103,Challenger Medal,21
item-104,Elite Adventurer Medal,5
item-106,Chess Champion Medal,23
item-303,Central Data: 2B14,0
item-304,Central Data: M2,0
item-305,Central Data: AT4,0
item-306,Core Data: QLZ-04,0
item-307,Central Data: Mk 153,0
item-308,Core Data: PP93,50
item-506,Battery,1860
item-507,Surplus EXP,240000
item-508,Friendship Points,86020
item-509,Fairy Command,200
item-510,Combat Sim Extra Energy,20
item-512,Supernova Kernel,290
item-513,Dark Star Kernel,11100
item-514,Petri Dish,5770
item-515,Basic Training Keycode,45785
item-516,Advanced Training Keycode,17819
item-519,HOC General Data,107
item-520,Frag Grenade,14
item-521,Stun Grenade,42
item-522,Turret,20
item-525,Quick Auto-Battle Contract,349
item-601,Infinite Surprise Dye,46
item-602,Colorful Specified Dye,1
item-603,Potential Energy,6
item-604,Electronic Impulse,0
item-605,Aid Commission,30
item-606,Transfer Catalyst,177
item-1001,AAT-52 Icon,1
item-1002,G43 Icon,1
item-1003,IDW Icon,1
item-1004,L85A1 Icon,1
item-1005,M1911 Icon,1
item-1006,PPSh-41 Icon,1
item-1007,M38 Icon,1
item-1008,AK-47 Icon,1
item-1010,Makarov Icon,1
item-1011,Skorpion Icon,1
item-1012,Serdyukov Icon,1
item-1013,AR15 Icon,1
item-1015,Gr MP5 Icon,1
item-1016,PTRD Icon,1
item-1017,UMP9 Icon,1
item-1018,Gr G11 Icon,1
item-1019,OTs-14 Icon,1
item-1020,Suomi Icon,1
item-1021,IOP,1
item-1032,FMG-9 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1036,Ingram Icon,1
item-1037,Micro Uzi Icon,1
item-1040,RMB-93 Icon,1
item-1042,SV-98 Icon,1
item-1043,Gr G36 Icon,1
item-1044,SAA Icon,1
item-1046,SVD Icon,1
item-1047,UMP45 Icon,1
item-1048,Am KSG Icon,1
item-1049,M99 Icon,1
item-1051,Manticore,1
item-1058,FF FNP9 Icon,1
item-1060,LWMMG Icon,1
item-1061,M3 Icon,1
item-1062,M1895 Icon,1
item-1063,Spectre M4 Icon,1
item-1064,SVT-38 Icon,1
item-1065,M1 Garand Icon,1
item-1066,M2HB Icon,1
item-1067,M21 Icon,1
item-1068,StG44 Icon,1
item-1069,Tokarev Icon,1
item-1070,AS Val Icon,1
item-1071,M60 Icon,1
item-1072,Gr Mk23 Icon,1
item-1073,Springfield Icon,1
item-1074,Stechkin Icon,1
item-1075,Kar98k Icon,1
item-1083,Background: Monitoring Room,1
